parameter_name,parameter_value,seed,SIG_A_score,SIG_B_score,SIG_C_score,SIG_D_score,SIG_E_score,SIG_A_directional_pass,SIG_B_directional_pass,SIG_C_directional_pass,SIG_D_directional_pass,SIG_E_directional_pass,SIG_A_protected_pass,SIG_B_protected_pass,SIG_C_protected_pass,SIG_D_protected_pass,SIG_E_protected_pass,joint_directional_pass,joint_protected_pass,failure_mode
structural_lr,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,False,True,True,False,False,False,SIG_A;SIG_B;SIG_E
structural_lr,0.03,42,0.03421110434379861,0.04146365328200702,0.15040012725652416,19.744151810171854,81.75876470677102,True,True,True,True,True,True,False,True,True,True,True,False,SIG_B
structural_lr,0.06,42,0.06289302610275635,0.0931063803179295,0.15194231111584905,20.15470611960233,122.89554004674986,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.09,42,0.08679084069103288,0.1378661255341841,0.15296865724061112,20.463367638797994,143.14524426198844,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.12,42,0.10656584125587441,0.17656291490065446,0.15367154044228418,20.69386774326868,152.18537037982185,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.15,42,0.12280327431553481,0.20993182913965036,0.15416586595064827,20.86625880249765,155.1122454541627,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.18,42,0.13601950846626837,0.2386304214396444,0.15452201985993197,20.995806879648978,154.73338336916808,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.21,42,0.14666866720742158,0.26324561181288997,0.15478425783566718,21.09370134694377,152.63675919284174,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.27,42,0.16180731097204074,0.30225822610316655,0.1551314760150298,21.22473472139332,146.5323667079336,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.33,42,0.17082840396441554,0.3304840228940178,0.15533968301157422,21.30116326864476,140.2777233673953,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_lr,0.4,42,0.1762037015060226,0.35341011601296435,0.15548795311102684,21.3509674725126,134.05619352673784,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,False,True,True,False,False,False,SIG_A;SIG_B;SIG_E
replay_gain,0.1,42,0.09144162727936872,0.09107837272112279,0.15085928897862821,20.24897069180381,235.2692230041188,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,0.25,42,0.14902214350069898,0.18652170276103885,0.15308627140691464,20.866561710942214,180.09720776194897,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,0.4,42,0.1433330298961472,0.21653501644072948,0.15399032480861272,20.95123023600088,164.9067228559577,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,0.6,42,0.14030096456167312,0.2327840625602735,0.15436425784839128,20.991774666311294,157.2197682886101,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,0.8,42,0.13601950846626837,0.2386304214396444,0.15452201985993197,20.995806879648978,154.73338336916808,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,1.0,42,0.1356518485344628,0.2437896257506048,0.15461104110575163,21.00931108258705,152.37038481065608,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,1.25,42,0.13657579921583762,0.248173336720531,0.1546692712991115,21.024218809230053,150.31813071288917,True,True,True,True,True,True,True,True,True,True,True,True,none
replay_gain,1.5,42,0.13385797741895988,0.24854024266310948,0.1547046932758744,21.017035387319932,150.31056018853843,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.02,42,0.14358599472395792,0.30478823942642197,0.15529514827550112,21.186472916970622,32.17419799999657,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.05,42,0.14144137105726165,0.2848363005915291,0.15511179080077436,21.13692621798586,80.58857715497155,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.08,42,0.13926340749030688,0.26478019501193806,0.1548867935500687,21.08066864527509,119.64286927813467,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.12,42,0.13601950846626837,0.2386304214396444,0.15452201985993197,20.995806879648978,154.73338336916808,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.16,42,0.13220363568665114,0.21386144277717511,0.15409121460431352,20.901837798089467,176.3174973893426,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.24,42,0.12289461935479001,0.17020656149248137,0.1531060749079657,20.7007063390354,200.66712350290962,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.32,42,0.11227616072899962,0.1351863346832486,0.15210734023480912,20.504896152159517,214.46661053798346,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.45,42,0.09518966813880882,0.09437706737258567,0.1507690524273034,20.237170750022916,224.58365148310673,True,True,True,True,True,True,True,True,True,True,True,True,none
eligibility_decay,0.6,42,0.07832300554192079,0.0645219355466673,0.1497673713626973,20.013144127873076,222.47885281784278,True,True,True,True,True,True,True,True,True,True,True,True,none
structural_decay,0.0,42,0.13664966762373332,0.2570307498884431,0.15475406964343918,20.733722954382998,149.28954881819251,True,True,True,True,True,True,True,True,True,True,True,True,none
