comparator,SIG_A_overlap_advantage,SIG_B_linking_gain,SIG_C_context_separation,SIG_D_linking_recall_dissociation,SIG_E_targeted_rescue_advantage,joint_pass
full_model,0.12807778924906907,0.2397025535339664,0.15452201985993197,20.982655917139482,33.291885867691406,True
fast_context_only,0.0,0.0,0.14900639157823087,19.25110813871095,0.0,False
replay_no_structure,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False
random_slow_drift,-0.08894837979181909,-0.06464569520220498,0.1485624282160747,-5.137660868612624,-69.3736178346368,False
fixed_allocation_only,0.0,0.0,0.14900639157823087,19.25110813871095,0.0,False
