comparator,SIG_A_overlap_advantage,SIG_B_linking_gain,SIG_C_context_separation,SIG_D_linking_recall_dissociation,SIG_E_targeted_rescue_advantage,mb_pre_overlap,mb_post_overlap,delta_m_overlap,delta_m_nonoverlap_mean,lk_pre,lk_post_cons,lk_post_damage,lk_targ_rescue,lk_gen_rescue,r_mu1_pre,r_mu1_post_cons,r_mu1_post_damage,link_drop_pct,recall_drop_pct,rec_targ_pct,rec_gen_pct
full_model,0.12807778924906907,0.2397025535339664,0.15452201985993197,20.982655917139482,33.291885867691406,0.5,0.7986072403763136,0.2986072403763136,0.17052945112724452,0.4075,0.6472025535339664,0.5057604366905202,0.6552221456849311,0.6081333975765643,1.3693651244941076,1.4236580817571376,1.4112476862704355,21.854381765201587,0.8717258480621038,105.66987565651405,72.37798978882265
fast_context_only,0.0,0.0,0.14900639157823087,19.25110813871095,0.0,0.5,0.5,0.0,0.0,0.4075,0.4075,0.3208834699389616,0.2550348935936735,0.2550348935936735,1.3693651244941076,1.3693651244941076,1.3419164462333875,21.25559019902782,2.004482060316871,-76.02310586545646,-76.02310586545646
replay_no_structure,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,0.5,0.47794478917877986,-0.02205521082122014,-0.02205521082122014,0.4075,0.3895250031807056,0.3047790477609101,0.23997098334585876,0.23997098334585876,1.3693651244941076,1.360237771750148,1.3256278802619046,21.756229953865322,2.544400119378583,-76.47334211292996,-76.47334211292996
random_slow_drift,-0.08894837979181909,-0.06464569520220498,0.1485624282160747,-5.137660868612624,-69.3736178346368,0.5,0.4113231965891192,-0.0886768034108808,0.000271576380938295,0.4075,0.342854304797795,0.36580670481424776,0.36599624012964327,0.3500733298583522,1.3693651244941076,1.3506580403300177,1.3716856864350722,-6.69450541972614,-1.556844551113516,-0.8257755845124825,68.54784225012432
fixed_allocation_only,0.0,0.0,0.14900639157823087,19.25110813871095,0.0,0.5,0.5,0.0,0.0,0.4075,0.4075,0.3208834699389616,0.2550348935936735,0.2550348935936735,1.3693651244941076,1.3693651244941076,1.3419164462333875,21.25559019902782,2.004482060316871,-76.02310586545646,-76.02310586545646
