trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,1,0.0,right,260,532,16.8166,34.4093,17.5927,1,1,
1,1,0.0,right,608,808,39.3249,52.2607,12.9358,1,1,
2,1,0.0,right,858,1066,55.4947,68.9480,13.4533,1,1,
3,1,0.0,right,1113,1270,71.9879,82.1425,10.1546,1,1,
4,1,0.0,right,1288,1452,83.3067,93.9141,10.6074,1,1,
5,1,0.0,right,1475,1631,95.4017,105.4917,10.0899,1,1,
6,1,0.0,right,1689,1920,109.2431,124.1839,14.9409,1,1,
7,1,0.0,right,1966,2203,127.1592,142.4881,15.3290,1,1,
8,1,0.0,right,2228,2500,144.1051,161.6978,17.5927,1,1,
9,1,0.0,right,2545,3044,164.6084,196.8833,32.2749,1,1,
10,1,0.0,right,3118,3358,201.6695,217.1925,15.5230,1,1,
11,1,0.0,right,3436,3614,222.2375,233.7504,11.5129,1,1,
12,1,0.0,right,3672,3857,237.5018,249.4674,11.9656,1,1,
13,1,0.0,right,3917,4095,253.3482,264.8610,11.5129,1,1,
14,1,0.0,right,4107,4297,265.6372,277.9262,12.2890,0,1,
15,1,0.0,right,4357,4546,281.8070,294.0313,12.2244,1,1,
16,1,0.0,right,4620,4847,298.8176,313.4997,14.6822,1,1,
17,1,0.0,right,4922,5104,318.3507,330.1223,11.7716,1,1,
18,1,1.0,right,6041,6264,390.7266,405.1501,14.4234,1,1,
19,1,1.0,right,6334,6513,409.6776,421.2552,11.5776,1,1,
20,1,1.0,right,6596,6815,426.6235,440.7883,14.1647,1,1,
21,1,1.0,right,6856,7077,443.4401,457.7342,14.2941,0,1,
22,1,1.0,right,7128,7487,461.0328,484.2527,23.2198,1,1,
23,1,1.0,right,7548,7748,488.1981,501.1339,12.9358,0,1,
24,1,1.0,right,7770,7941,502.5568,513.6170,11.0601,0,1,
25,1,1.0,right,7992,8144,516.9156,526.7468,9.8312,1,1,
26,1,1.0,right,8156,8340,527.5230,539.4240,11.9010,1,1,
27,1,1.0,right,8362,8542,540.8469,552.4891,11.6422,1,1,
28,1,1.0,right,8608,8793,556.7580,568.7236,11.9656,0,1,
29,1,1.0,right,8852,9038,572.5397,584.5700,12.0303,1,1,
30,1,1.0,right,9066,9260,586.3810,598.9288,12.5478,1,1,
31,1,1.0,right,9329,9531,603.3916,616.4568,13.0652,1,1,
32,1,1.0,right,9581,9762,619.6908,631.3977,11.7069,1,1,
33,1,1.0,right,9833,10012,635.9899,647.5675,11.5776,1,1,
34,1,1.0,right,10076,10263,651.7069,663.8019,12.0950,1,1,
35,1,1.0,right,10301,10520,666.2597,680.4245,14.1647,1,1,
36,1,1.0,right,10582,10792,684.4346,698.0172,13.5826,1,1,
37,1,2.0,right,11744,12032,759.5917,778.2193,18.6276,1,1,
38,1,2.0,right,12104,12337,782.8762,797.9464,15.0702,0,1,
39,1,2.0,right,12413,12618,802.8621,816.1213,13.2592,1,1,
40,1,2.0,right,12658,12891,818.7084,833.7787,15.0702,1,1,
41,1,2.0,right,12946,13162,837.3360,851.3067,13.9707,1,1,
42,1,2.0,right,13235,13465,856.0283,870.9045,14.8762,1,1,
43,1,2.0,right,13505,13747,873.4917,889.1440,15.6523,1,1,
44,1,2.0,right,13761,13955,890.0495,902.5973,12.5478,1,1,
45,1,2.0,right,14031,14334,907.5129,927.1107,19.5978,1,1,
46,1,2.0,right,14399,14675,931.3148,949.1662,17.8514,1,1,
47,1,2.0,right,14699,14901,950.7185,963.7837,13.0652,1,1,
48,1,2.0,right,14955,15238,967.2764,985.5806,18.3042,1,1,
49,1,2.0,right,15322,15537,991.0136,1004.9197,13.9060,1,1,
50,1,2.0,right,15590,16109,1008.3477,1041.9161,33.5685,1,1,
51,1,2.0,right,16135,16322,1043.5978,1055.6928,12.0950,1,1,
52,1,2.0,right,16408,16594,1061.2552,1073.2855,12.0303,0,1,
53,1,3.0,right,17535,17780,1134.1486,1149.9949,15.8464,1,1,
54,1,3.0,right,17836,18026,1153.6170,1165.9060,12.2890,1,1,
55,1,3.0,right,18094,18303,1170.3042,1183.8221,13.5179,1,1,
56,1,3.0,right,18329,18496,1185.5038,1196.3052,10.8014,1,1,
57,1,3.0,right,18552,18747,1199.9272,1212.5397,12.6124,1,1,
58,1,3.0,right,18835,19030,1218.2314,1230.8439,12.6124,1,1,
59,1,3.0,right,19057,19296,1232.5902,1248.0485,15.4583,0,1,
60,1,3.0,right,19322,19507,1249.7302,1261.6958,11.9656,1,1,
61,1,3.0,right,19539,19755,1263.7655,1277.7362,13.9707,1,1,
62,1,3.0,right,19845,20032,1283.5574,1295.6523,12.0950,0,1,
63,1,3.0,right,20078,20271,1298.6276,1311.1107,12.4831,1,1,
64,1,3.0,right,20347,20569,1316.0263,1330.3850,14.3588,1,1,
65,1,3.0,right,20620,20911,1333.6837,1352.5053,18.8216,1,1,
66,1,3.0,right,20929,21131,1353.6695,1366.7347,13.0652,1,1,
67,1,3.0,right,21152,21349,1368.0930,1380.8348,12.7418,1,1,
68,1,3.0,right,21395,21608,1383.8100,1397.5867,13.7767,1,1,
69,1,3.0,right,21627,21894,1398.8156,1416.0849,17.2693,1,1,
70,1,3.0,right,21938,22195,1418.9308,1435.5533,16.6225,1,1,
71,1,4.0,right,23133,23366,1496.2223,1511.2926,15.0702,1,1,
72,1,4.0,right,23442,23661,1516.2082,1530.3729,14.1647,1,1,
73,1,4.0,right,23739,23990,1535.4179,1551.6523,16.2345,1,1,
74,1,4.0,right,24061,24288,1556.2446,1570.9267,14.6822,1,1,
75,1,4.0,right,24339,24548,1574.2254,1587.7433,13.5179,1,1,
76,1,4.0,right,24600,24903,1591.1066,1610.7044,19.5978,1,1,
77,1,4.0,right,24965,25270,1614.7145,1634.4416,19.7271,1,1,
78,1,4.0,right,25339,25565,1638.9045,1653.5220,14.6175,1,1,
79,1,4.0,right,25611,25862,1656.4972,1672.7317,16.2345,1,1,
80,1,4.0,right,25943,26166,1677.9707,1692.3941,14.4234,1,1,
81,1,4.0,right,26214,26616,1695.4987,1721.4997,26.0010,1,1,
82,1,4.0,right,26692,26920,1726.4154,1741.1622,14.7468,1,1,
83,1,4.0,right,26977,27186,1744.8489,1758.3669,13.5179,1,1,
84,1,4.0,right,27254,27471,1762.7650,1776.8004,14.0354,1,1,
85,1,4.0,right,27490,27683,1778.0293,1790.5124,12.4831,1,1,
86,1,4.0,right,27734,28008,1793.8110,1811.5331,17.7221,1,1,
87,1,5.0,right,28944,29165,1872.0728,1886.3669,14.2941,1,1,
88,1,5.0,right,29186,29400,1887.7251,1901.5664,13.8413,1,1,
89,1,5.0,left,29418,29623,1902.7307,1915.9899,13.2592,1,1,
90,1,5.0,left,29662,29895,1918.5124,1933.5826,15.0702,1,1,
91,1,5.0,left,29965,30168,1938.1102,1951.2400,13.1299,1,1,
92,1,5.0,right,30190,30381,1952.6630,1965.0167,12.3537,1,1,
93,1,5.0,left,30397,30608,1966.0515,1979.6988,13.6473,1,1,
94,1,5.0,right,30650,30870,1982.4154,1996.6448,14.2294,1,1,
95,1,5.0,right,30901,31123,1998.6498,2013.0086,14.3588,1,1,
96,1,5.0,right,31146,31357,2014.4962,2028.1435,13.6473,0,1,
97,1,5.0,right,31403,31619,2031.1187,2045.0894,13.9707,1,1,
98,1,5.0,right,31661,31846,2047.8060,2059.7716,11.9656,0,1,
99,1,5.0,left,31907,32134,2063.7170,2078.3992,14.6822,1,1,
100,1,5.0,right,32147,32367,2079.2400,2093.4694,14.2294,1,1,
