run_id,branch_id,mb_pre,mb_post,delta_mb,is_overlap_branch,is_damage_branch
sparse_random_n16_s123,b0,0.5,0.7390304413110542,0.23903044131105422,True,False
sparse_random_n16_s123,b1,0.5,0.7085252229177988,0.20852522291779885,True,True
sparse_random_n16_s123,b2,0.5,0.6968459492035122,0.19684594920351217,False,False
sparse_random_n16_s123,b3,0.5,0.4903797515966369,-0.009620248403363119,False,False
sparse_random_n16_s123,b4,0.5,0.7739914041012333,0.27399140410123335,True,False
sparse_random_n16_s123,b5,0.5,0.7739914041012333,0.27399140410123335,True,False
sparse_random_n16_s123,b6,0.5,0.7085252229177988,0.20852522291779885,True,False
sparse_random_n16_s123,b7,0.5,0.4903797515966369,-0.009620248403363119,False,False
sparse_random_n16_s123,b8,0.5,0.7739914041012333,0.27399140410123335,True,False
sparse_random_n16_s123,b9,0.5,0.4903797515966369,-0.009620248403363119,False,False
sparse_random_n16_s123,b10,0.5,0.6968459492035122,0.19684594920351217,False,False
sparse_random_n16_s123,b11,0.5,0.7290964449759301,0.22909644497593007,False,False
sparse_random_n16_s123,b12,0.5,0.6467182605297114,0.14671826052971138,False,False
sparse_random_n16_s123,b13,0.5,0.7390304413110542,0.23903044131105422,True,False
sparse_random_n16_s123,b14,0.5,0.7290964449759301,0.22909644497593007,False,False
sparse_random_n16_s123,b15,0.5,0.6467182605297114,0.14671826052971138,False,False
