run_id,branch_id,mb_pre,mb_post,delta_mb,is_overlap_branch,is_damage_branch
weak_overlap_n32,b0,0.5,0.7439711773754457,0.2439711773754457,False,False
weak_overlap_n32,b1,0.5,0.690547314167838,0.190547314167838,False,True
weak_overlap_n32,b2,0.5,0.7791481601240312,0.2791481601240312,False,False
weak_overlap_n32,b3,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b4,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b5,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b6,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b7,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b8,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b9,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b10,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b11,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b12,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b13,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b14,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b15,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b16,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b17,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b18,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b19,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b20,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b21,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b22,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b23,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b24,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b25,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b26,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b27,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b28,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b29,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b30,0.5,0.48574995557463224,-0.014250044425367758,False,False
weak_overlap_n32,b31,0.5,0.48574995557463224,-0.014250044425367758,False,False
