run_id,trace_i,trace_j,L_pre,L_post,L_dmg,L_targ,L_gen,is_expected_linked,is_expected_unlinked
hub_overlap_n8,th0,th1,0.4125,0.6442154850066523,0.5029051290154207,0.6491936844747963,0.4249486649457185,True,False
hub_overlap_n8,th0,th2,0.4125,0.6454104128909034,0.5040473481268652,0.6501670919664962,0.4261375912323621,True,False
hub_overlap_n8,th0,th3,0.4125,0.6468104131210567,0.505385593756567,0.651297267481938,0.4275120190185419,True,False
hub_overlap_n8,th1,th2,0.4125,0.6464074056797313,0.5050003631434036,0.6509854326278124,0.42714015141927175,True,False
hub_overlap_n8,th1,th3,0.4125,0.6478074059098846,0.5063386087731052,0.6521156081432542,0.42851457920545155,True,False
hub_overlap_n8,th2,th3,0.4125,0.6490023337941357,0.5074808278845498,0.6530890156349541,0.42970350549209524,True,False
