step,phase,branch_id,is_overlap,x_b,fast_access,slow_access,effective_access,eligibility,translation_readiness,structural_accessibility,input_drive
7,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9595180915079274,0.5972609895161044,0.7744,0.38000000000000006,0.527596,nan
7,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9661768038340223,0.8607699858227932,0.88,0.68,0.5587,nan
7,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9604638157633697,0.8876047787233016,0.88,0.38000000000000006,0.5317,nan
7,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9518918580611272,0.5925139693452199,0.0,0.04000000000000001,0.4975,nan
8,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9690071145769141,0.6031675204693848,0.681472,0.7410000000000001,0.5737523797306879,nan
8,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.977131269819564,0.8705293543914168,0.7744,1.0,0.6258084199999999,nan
8,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9708027162502394,0.8971593890358166,0.7744,0.7410000000000001,0.58400793152,nan
8,consolidation_replay,b3,False,0.0,0.6224593312018546,0.951203758256645,0.5920856552011219,0.0,0.07800000000000001,0.4950125,nan
9,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9767747401745431,0.6080025515039114,0.59969536,1.0,0.6231692651224648,nan
9,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.98285966927256,0.8756328036735522,0.681472,1.0,0.67483869061936,nan
9,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9788438844316462,0.9045905688337371,0.681472,1.0,0.6390738582719642,nan
9,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9505098387117359,0.5916537185052898,0.0,0.11410000000000002,0.4925374375,nan
10,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9813737746361564,0.6108652634190614,0.5277319168,1.0,0.6607304745749132,nan
10,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9861851821760907,0.8785955136904628,0.59969536,1.0,0.711350396174987,nan
10,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.983388497453555,0.9087904357829032,0.59969536,1.0,0.6801514797186282,nan
10,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9498101115952218,0.5912181668323206,0.0,0.14839500000000003,0.49007475031250003,nan
11,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9842947100427861,0.612683426918756,0.46440408678399997,1.0,0.6896546264556319,nan
11,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9882689051902976,0.8804519091475675,0.5277319168,1.0,0.7389519732484577,nan
11,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9861791667785891,0.911369410011899,0.5277319168,1.0,0.7112768235528439,nan
