,day0,day1,day2,day3,day4,day5
day0,1.000000,0.258606,0.220883,0.232780,0.223151,0.184119
day1,0.258606,1.000000,0.239431,0.228438,0.230754,0.218422
day2,0.220883,0.239431,1.000000,0.245769,0.293234,0.211763
day3,0.232780,0.228438,0.245769,1.000000,0.345237,0.278741
day4,0.223151,0.230754,0.293234,0.345237,1.000000,0.283026
day5,0.184119,0.218422,0.211763,0.278741,0.283026,1.000000
