,day0,day1,day2,day3,day4,day5
day0,1.000000,0.215291,0.219539,0.204337,0.241041,0.209937
day1,0.215291,1.000000,0.269924,0.160674,0.311882,0.270553
day2,0.219539,0.269924,1.000000,0.250153,0.341743,0.257701
day3,0.204337,0.160674,0.250153,1.000000,0.225649,0.190441
day4,0.241041,0.311882,0.341743,0.225649,1.000000,0.380989
day5,0.209937,0.270553,0.257701,0.190441,0.380989,1.000000
