subject_id,channel,off_diagonal_mean,arm_separation_mean,split_half_mean
SparseKO-5,ch0,0.2463,0.0694,0.9715
SparseKO-5,ch1,0.3943,0.1493,0.978
SparseKO-5,ch0-ch1,-0.148,-0.0799,-0.0065
