subject_id,channel,off_diagonal_mean,arm_separation_mean,split_half_mean
SparseKO-2,ch0,0.25,0.2891,0.9665
SparseKO-2,ch1,0.373,0.3397,0.9788
SparseKO-2,ch0-ch1,-0.123,-0.0506,-0.0123
