,day0,day1,day2,day3,day4,day5
day0,1.000000,0.300576,0.224844,0.233810,0.232634,0.241795
day1,0.300576,1.000000,0.253853,0.283247,0.257092,0.276386
day2,0.224844,0.253853,1.000000,0.231406,0.246995,0.237413
day3,0.233810,0.283247,0.231406,1.000000,0.269623,0.262544
day4,0.232634,0.257092,0.246995,0.269623,1.000000,0.236156
day5,0.241795,0.276386,0.237413,0.262544,0.236156,1.000000
