,day0,day1,day2,day3,day4,day5
day0,1.000000,0.362333,0.365400,0.338477,0.281842,0.257322
day1,0.362333,1.000000,0.331478,0.337557,0.273914,0.272346
day2,0.365400,0.331478,1.000000,0.356750,0.286934,0.281394
day3,0.338477,0.337557,0.356750,1.000000,0.309392,0.311540
day4,0.281842,0.273914,0.286934,0.309392,1.000000,0.303006
day5,0.257322,0.272346,0.281394,0.311540,0.303006,1.000000
