,day0,day1,day2,day3,day4,day5
day0,1.000000,0.137035,0.199266,0.133274,0.152757,0.166986
day1,0.137035,1.000000,0.240319,0.225864,0.241535,0.189930
day2,0.199266,0.240319,1.000000,0.338919,0.338351,0.317703
day3,0.133274,0.225864,0.338919,1.000000,0.298264,0.324046
day4,0.152757,0.241535,0.338351,0.298264,1.000000,0.334406
day5,0.166986,0.189930,0.317703,0.324046,0.334406,1.000000
