comparator,motif_type,B1_linking_gain,B2_context_separation,B3_damage_sensitivity,B4_recall_preservation,B5_recovery_index,interpretation_class
full_model,canonical,0.2392484762482996,0.7502615352920643,0.14142208730291717,0.9883042168198246,1.5744404926527844,full_structural_match
full_model,strong_overlap,0.2955284670131792,0.7502615352920643,0.1764954858286325,0.9876037862334677,1.5660339164325214,full_structural_match
full_model,chain_overlap,0.22759705574327083,0.7398201626148477,0.08543874159199571,0.9866403520439168,1.4128821549681665,full_structural_match
full_model,sparse_random,0.20590940405901162,0.6578776219372638,0.12506538541154394,0.9859870079689043,1.5892148935857673,full_structural_match
hebbian_weight_only,canonical,4.178964576290427,0.7173142789660308,0.08474595541979552,0.9661328266864226,0.0,partial_behavioral_match
hebbian_weight_only,strong_overlap,5.114247003547128,0.7173142789660308,0.10537329232192888,0.963745966421296,0.0,partial_behavioral_match
hebbian_weight_only,chain_overlap,4.0088511332626275,0.7091684650906962,0.054005322945256506,0.9675139596807579,0.0,partial_behavioral_match
hebbian_weight_only,sparse_random,3.665809764942413,0.6329243637935567,0.07529175933965115,0.9606292995533103,0.0,partial_behavioral_match
soma_global_gain_only,canonical,0.19804530661230801,0.0,0.1317438293814126,0.9887182741948579,1.875509261541361,partial_behavioral_match
soma_global_gain_only,strong_overlap,0.2417853743303638,0.0,0.16381054383363758,0.9881061213290082,1.8792083530855828,partial_behavioral_match
soma_global_gain_only,chain_overlap,0.1782338587119895,0.0,0.07978012760695319,0.9877894051048379,1.7960525772314446,partial_behavioral_match
soma_global_gain_only,sparse_random,0.14693675973526177,0.0,0.1103665656013299,0.9873328688449469,2.134783193858102,partial_behavioral_match
shuffled_replay,canonical,0.1914806681046185,0.7429550798083516,0.13186095310374102,0.9854473732071399,1.818460671171277,full_structural_match
shuffled_replay,strong_overlap,0.235738583773136,0.7429550798083516,0.16405183141082602,0.9844893508456503,1.8188556983125261,full_structural_match
shuffled_replay,chain_overlap,0.07499336220406722,0.7264009733499371,0.06751041293338239,0.9775187246249752,2.388209575034403,full_structural_match
shuffled_replay,sparse_random,0.04143224594221153,0.64840368626193,0.08729634817365195,0.9684710192708682,3.123752130924286,partial_behavioral_match
eligibility_only,canonical,0.3977060600913622,0.7173142789660308,0.08474595541979552,0.9661328266864226,0.0,transient_only
eligibility_only,strong_overlap,0.48770606009136225,0.7173142789660308,0.10537329232192888,0.963745966421296,0.0,transient_only
eligibility_only,chain_overlap,0.34722974346815344,0.7091684650906962,0.054005322945256506,0.9675139596807579,0.0,transient_only
eligibility_only,sparse_random,0.3416239851530903,0.6329243637935567,0.07529175933965115,0.9606292995533103,0.0,transient_only
resource_only,canonical,0.4057395011805507,0.7173142789660308,0.08474595541979552,0.9661328266864226,0.0,transient_only
resource_only,strong_overlap,0.4957395011805507,0.7173142789660308,0.10537329232192888,0.963745966421296,0.0,transient_only
resource_only,chain_overlap,0.42721850354165225,0.7091684650906962,0.054005322945256506,0.9675139596807579,0.0,transient_only
resource_only,sparse_random,0.3609685035416524,0.6329243637935567,0.07529175933965115,0.9606292995533103,0.0,transient_only
