param_x_name,param_x_value,param_y_name,param_y_value,seed,SIG_A_score,SIG_B_score,SIG_C_score,SIG_D_score,SIG_E_score,SIG_A_protected_pass,SIG_B_protected_pass,SIG_C_protected_pass,SIG_D_protected_pass,SIG_E_protected_pass,joint_protected_pass,first_failed_signature,failure_mode
structural_decay,0.0,structural_lr,0.0,42,0.0,0.0,0.14900639157823087,19.25110813871095,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_decay,0.0,structural_lr,0.03,42,0.034533859786612164,0.059772855194421104,0.15112657551332617,19.714031547026007,0.784696423819632,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.06,42,0.06343257084998266,0.1116235829967056,0.15248925155652177,20.06034123089803,1.1813648288731813,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.09,42,0.08745652682082772,0.15648197651835405,0.15339271717162078,20.314118791458394,1.3774864152081991,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.12,42,0.10728073934701443,0.19518327369157917,0.15400970699421876,20.499230449645733,1.4657458694327312,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.15,42,0.123502699939113,0.22847624962119617,0.15444267695290073,20.634505022662662,1.4951874459666907,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.18,42,0.13664966762373343,0.2570307498884431,0.15475406964343918,20.733722954382998,1.4928954881819252,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.21,42,0.1471854137280838,0.28144469401080663,0.15498299707051064,20.806716340975537,1.474197628095372,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.27,42,0.16199779700372918,0.3199214978514471,0.1552854938425454,20.899970496471756,1.4188216978474744,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.33,42,0.17060521861494327,0.3474869104330448,0.15546633308104335,20.94965042644648,1.3624333137542668,True,True,True,True,True,True,none,none
structural_decay,0.0,structural_lr,0.4,42,0.17544330712182898,0.36955270069989077,0.1555945661275898,20.977116514059734,1.3072482340918887,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_decay,0.005,structural_lr,0.03,42,0.03421110434379859,0.04146365328200702,0.15040012725652416,19.744151810171854,0.8175876470677101,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.005,structural_lr,0.06,42,0.06289302610275638,0.0931063803179295,0.15194231111584905,20.15470611960233,1.2289554004674987,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.09,42,0.08679084069103282,0.1378661255341841,0.15296865724061112,20.463367638797994,1.4314524426198845,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.12,42,0.10656584125587443,0.17656291490065446,0.15367154044228418,20.69386774326868,1.5218537037982185,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.15,42,0.12280327431553484,0.20993182913965036,0.15416586595064827,20.86625880249765,1.551122454541627,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.18,42,0.13601950846626842,0.2386304214396444,0.15452201985993197,20.995806879648978,1.5473338336916809,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.21,42,0.14666866720742155,0.26324561181288997,0.15478425783566718,21.09370134694377,1.5263675919284174,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.27,42,0.1618073109720407,0.30225822610316655,0.1551314760150298,21.22473472139332,1.465323667079336,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.33,42,0.17082840396441556,0.3304840228940178,0.15533968301157422,21.30116326864476,1.4027772336739532,True,True,True,True,True,True,none,none
structural_decay,0.005,structural_lr,0.4,42,0.1762037015060226,0.35341011601296435,0.15548795311102684,21.3509674725126,1.3405619352673785,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.0,42,0.0,-0.03524172165041628,0.1469421132994377,19.066743648023145,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_decay,0.01,structural_lr,0.03,42,0.033884636968945725,0.023845950175124198,0.14961174424402449,19.668754390472145,0.8519190801942146,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.01,structural_lr,0.06,42,0.06234452557790782,0.07526277485239652,0.15134626910524465,20.148117624129743,1.2782927042637717,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.09,42,0.08610967240267242,0.11990507099169911,0.15250529908214486,20.517916470249673,1.487118667810247,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.12,42,0.10582787787453318,0.15857786015079423,0.1533014554748088,20.80038385135602,1.5795124945895085,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.15,42,0.12207234721400051,0.19200271588805162,0.15386269614792086,21.016141725479386,1.6084449592798378,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.18,42,0.13534874163412247,0.22082506718152894,0.15426783261860139,21.181670661213996,1.603013779185102,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.21,42,0.1461017005892189,0.24562098492772477,0.15456662212369088,21.309441669183066,1.5796609027135722,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.27,42,0.1615464280197494,0.2851283340929561,0.1549630651952965,21.486292029436505,1.512797526376092,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.33,42,0.17096053126374988,0.3139741071830212,0.1552014999923195,21.595398819853287,1.4440361631610354,True,True,True,True,True,True,none,none
structural_decay,0.01,structural_lr,0.4,42,0.17684930334220106,0.33771509833686864,0.15537196848107482,21.672515765970058,1.374808079969674,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.0,42,0.0,-0.06774778693196393,0.1445724951211203,18.497186513946716,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_decay,0.02,structural_lr,0.03,42,0.03322203314362221,-0.009408510730837538,0.14784923128292823,19.217967019869445,0.9251371553754482,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.02,structural_lr,0.06,42,0.06122362927605335,0.041506619099411945,0.15000434767443507,19.833243878006023,1.382444922734487,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.02,structural_lr,0.09,42,0.08470539379381781,0.08586135684121277,0.15145727097752754,20.33364662367231,1.6037579598421923,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.12,42,0.10428880840740073,0.12443133188875843,0.15246199503552546,20.73303132635779,1.6996575429422611,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.15,42,0.12052359713038796,0.15791165985928635,0.15317394992892233,21.05010319404251,1.7273981792120767,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.18,42,0.13389454675802337,0.1869240212726876,0.15369003808169712,21.30213408683073,1.7182163922706866,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.21,42,0.1448278120681259,0.21202323602693196,0.15407200025357023,21.503344807424263,1.689707056800636,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.27,42,0.16082720485312518,0.252403336240269,0.15458103326363215,21.795490253556608,1.6106883190213344,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.33,42,0.17096825779366476,0.28237394428865425,0.15488899788021745,21.988585269816326,1.5292566316457337,True,True,True,True,True,True,none,none
structural_decay,0.02,structural_lr,0.4,42,0.17781597829934614,0.3076151178116532,0.15511077178775529,22.136768647437382,1.4459668106733126,True,True,True,True,True,True,none,none
structural_decay,0.035,structural_lr,0.0,42,0.0,-0.11178494640684539,0.14049606580775748,17.175722556357087,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_decay,0.035,structural_lr,0.03,42,0.03220910289451662,-0.05467064095721441,0.14475758020217827,17.949790677389785,1.0472997560332342,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.035,structural_lr,0.06,42,0.059492994301958646,-0.004619279395472242,0.14761865466171323,18.702488281888776,1.5532816676773855,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.035,structural_lr,0.09,42,0.08250997592565446,0.03918572287363886,0.14957703103063388,19.370615107188453,1.7927435206429418,True,False,True,True,True,False,SIG_B,SIG_B
structural_decay,0.035,structural_lr,0.12,42,0.10184367869162386,0.0774774259217551,0.15094697794744769,19.940884214118988,1.892561980755652,True,True,True,True,True,True,none,none
structural_decay,0.035,structural_lr,0.15,42,0.11801007230750882,0.11091262937733048,0.1519265025753682,20.41931769985176,1.9170987405899338,True,True,True,True,True,True,none,none
