param_x_name,param_x_value,param_y_name,param_y_value,seed,SIG_A_score,SIG_B_score,SIG_C_score,SIG_D_score,SIG_E_score,SIG_A_protected_pass,SIG_B_protected_pass,SIG_C_protected_pass,SIG_D_protected_pass,SIG_E_protected_pass,joint_protected_pass,first_failed_signature,failure_mode
structural_lr,0.0,replay_gain,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,0.1,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,0.25,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,0.4,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,0.6,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,0.8,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,1.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,1.25,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.0,replay_gain,1.5,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.03,replay_gain,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.03,replay_gain,0.1,42,0.017638898642435452,0.0023682003969719423,0.14860584427510415,19.425211534109977,0.8670999043248762,False,False,True,True,True,False,SIG_A,SIG_A;SIG_B
structural_lr,0.03,replay_gain,0.25,42,0.03419735045510891,0.025396294997200863,0.14939507032528285,19.643945653440767,0.8631848454147797,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.03,replay_gain,0.4,42,0.034902290086326615,0.03420536233079918,0.14993411801193565,19.70204740006789,0.8375980907691339,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.03,replay_gain,0.6,42,0.035131818248384405,0.03946555612614383,0.15024409520228083,19.735602678450647,0.8227918218242548,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.03,replay_gain,0.8,42,0.03421110434379859,0.04146365328200702,0.15040012725652416,19.744151810171854,0.8175876470677101,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.03,replay_gain,1.0,42,0.03436998932010049,0.04326303516272184,0.15049674561381157,19.755865996996874,0.8126132663238579,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.03,replay_gain,1.25,42,0.034856776005266044,0.044803934859503014,0.15056399974478282,19.767297376910847,0.8082697109160778,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.03,replay_gain,1.5,42,0.033966824480028635,0.044924078315410065,0.15060674812842262,19.764406131653356,0.8082342360991587,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.06,replay_gain,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.06,replay_gain,0.1,42,0.034259220696075454,0.021796703666976835,0.14914435696008693,19.621483860543655,1.4602208966472752,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.06,replay_gain,0.25,42,0.06412467421301027,0.06459989969655383,0.15048757989151654,20.000811499174077,1.3470756189275743,True,True,True,True,True,True,none,none
structural_lr,0.06,replay_gain,0.4,42,0.06463339027091464,0.08037617838313399,0.1513023879767072,20.09183525587984,1.2795537487645032,True,True,True,True,True,True,none,none
structural_lr,0.06,replay_gain,0.6,42,0.06466201576549269,0.08962728616938598,0.15173451847999617,20.142586748707675,1.2419107695223561,True,True,True,True,True,True,none,none
structural_lr,0.06,replay_gain,0.8,42,0.06289302610275638,0.0931063803179295,0.15194231111584905,20.15470611960233,1.2289554004674987,True,True,True,True,True,True,none,none
structural_lr,0.06,replay_gain,1.0,42,0.06308193466231538,0.09622848148127783,0.15206781096015054,20.17208038776707,1.2166210329166796,True,True,True,True,True,True,none,none
structural_lr,0.06,replay_gain,1.25,42,0.06387668748455289,0.0988984873375307,0.15215371573028194,20.189169298582723,1.2058902891421142,True,True,True,True,True,True,none,none
structural_lr,0.06,replay_gain,1.5,42,0.062314864415358384,0.0991093334518719,0.1522076837721066,20.1844805119164,1.2058134500537119,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,0.0,42,0.0,-0.017974996819294375,0.14801320585098252,19.21182983448674,0.0,False,False,True,True,False,False,SIG_A,SIG_A;SIG_B;SIG_E
structural_lr,0.09,replay_gain,0.1,42,0.049906541853038555,0.040347183061074654,0.14963428016758545,19.801101596761843,1.8571811643298968,True,False,True,True,True,False,SIG_B,SIG_B
structural_lr,0.09,replay_gain,0.25,42,0.09020099183172581,0.09999467145746288,0.1513581904594436,20.291009879082512,1.6103139726598847,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,0.4,42,0.0898119568276472,0.12115633613170884,0.1522939900061911,20.395335688831207,1.5065907348861618,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,0.6,42,0.08932514293326199,0.13333386501643252,0.15275544169177988,20.45130816775152,1.4504403160639492,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,0.8,42,0.08679084069103282,0.1378661255341841,0.15296865724061112,20.463367638797994,1.4314524426198845,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,1.0,42,0.08691582238146145,0.1419180641667821,0.15309472107125466,20.48219954039744,1.413409497602411,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,1.25,42,0.08787828409348675,0.14537825933048742,0.1531797921856179,20.501021978647646,1.3977404201684391,True,True,True,True,True,True,none,none
structural_lr,0.09,replay_gain,1.5,42,0.08582693190488233,0.145655191875949,0.15323270666147792,20.49516765420185,1.3976428649198231,True,True,True,True,True,True,none,none
