roi_id,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49
0,,,,,,,,,,,,,,0.000015,0.000612,0.000602,0.000246,0.000151,0.000205,0.000267,0.000396,0.000536,0.000768,0.001007,0.001660,0.002172,0.003154,0.004787,0.003237,0.001496,0.002267,0.001083,0.000882,0.000745,0.000704,0.000894,0.000456,0.000109,0.000103,0.000075,0.000117,0.000114,0.000119,0.000178,0.000130,0.000144,0.000026,0.000048,0.000082,0.000082
1,,,,,,,,,,,,,,0.000044,0.000693,0.000383,0.000227,0.000077,0.000061,0.000068,0.000068,0.000074,0.000085,0.000123,0.000413,0.001030,0.001190,0.001576,0.000871,0.000344,0.000762,0.000730,0.001070,0.000701,0.000616,0.000668,0.000400,0.000090,0.000091,0.000104,0.000071,0.000146,0.000421,0.000146,0.000125,0.000162,0.000046,0.000270,0.001117,0.001107
2,,,,,,,,,,,,,,0.000016,0.000469,0.000365,0.000121,0.000071,0.000097,0.000127,0.000129,0.000148,0.000117,0.000084,0.000143,0.000116,0.000122,0.000212,0.000135,0.000069,0.000074,0.000061,0.000073,0.000103,0.000436,0.001361,0.002222,0.000706,0.001469,0.000650,0.001516,0.001114,0.000925,0.000258,0.000172,0.000169,0.000023,0.000048,0.000095,0.000096
3,,,,,,,,,,,,,,0.000123,0.002011,0.001159,0.000421,0.000265,0.000204,0.000230,0.000150,0.000135,0.000151,0.000091,0.000068,0.000184,0.000203,0.000286,0.000152,0.000086,0.000125,0.000116,0.000082,0.000140,0.000169,0.000173,0.000210,0.000080,0.000076,0.000086,0.000121,0.000165,0.000214,0.000167,0.000113,0.000318,0.000076,0.000388,0.002238,0.002273
4,,,,,,,,,,,,,,0.000017,0.000396,0.000509,0.000404,0.000607,0.001084,0.001784,0.001980,0.001672,0.001604,0.001401,0.001526,0.001617,0.001974,0.002087,0.000676,0.000141,0.000175,0.000106,0.000102,0.000090,0.000133,0.000348,0.000204,0.000026,0.000047,0.000082,0.000278,0.000478,0.000593,0.000238,0.000209,0.000306,0.000028,0.000036,0.000070,0.000071
5,,,,,,,,,,,,,,0.000025,0.000637,0.000461,0.000153,0.000127,0.000121,0.000196,0.000174,0.000151,0.000135,0.000157,0.000107,0.000194,0.000355,0.000704,0.000833,0.000893,0.002892,0.001937,0.002089,0.001412,0.001034,0.001045,0.000662,0.000120,0.000121,0.000070,0.000174,0.000206,0.000207,0.000099,0.000108,0.000102,0.000024,0.000055,0.000145,0.000143
6,,,,,,,,,,,,,,0.000065,0.002267,0.002711,0.003627,0.003205,0.003155,0.003220,0.003100,0.002342,0.001979,0.001562,0.001437,0.001260,0.001185,0.000966,0.000352,0.000110,0.000132,0.000108,0.000127,0.000256,0.000507,0.000780,0.000393,0.000104,0.000106,0.000082,0.000105,0.000099,0.000082,0.000088,0.000072,0.000108,0.000020,0.000061,0.000131,0.000173
7,,,,,,,,,,,,,,0.000014,0.000352,0.000264,0.000092,0.000109,0.000152,0.000373,0.000827,0.001307,0.002330,0.002937,0.003635,0.003826,0.003687,0.003372,0.001106,0.000293,0.000447,0.000226,0.000149,0.000149,0.000229,0.000358,0.000253,0.000053,0.000059,0.000048,0.000102,0.000206,0.000465,0.000199,0.000161,0.000187,0.000021,0.000038,0.000066,0.000064
8,,,,,,,,,,,,,,0.000024,0.000653,0.000661,0.000718,0.001181,0.001900,0.002776,0.003027,0.002395,0.002040,0.001516,0.001266,0.001058,0.000945,0.000914,0.000385,0.000090,0.000163,0.000136,0.000109,0.000182,0.000143,0.000270,0.000227,0.000054,0.000069,0.000082,0.000112,0.000157,0.000225,0.000114,0.000100,0.000101,0.000016,0.000038,0.000122,0.000099
9,,,,,,,,,,,,,,0.000029,0.000597,0.000395,0.000226,0.000148,0.000115,0.000184,0.000193,0.000193,0.000218,0.000286,0.000345,0.000300,0.000324,0.000296,0.000186,0.000101,0.000168,0.000102,0.000069,0.000153,0.000219,0.000389,0.000267,0.000099,0.000393,0.000551,0.002558,0.003245,0.004083,0.001205,0.000912,0.001072,0.000055,0.000106,0.000280,0.000248
10,,,,,,,,,,,,,,0.000018,0.000616,0.000708,0.000888,0.000669,0.000816,0.000909,0.000881,0.000672,0.000604,0.000532,0.000554,0.000678,0.000768,0.000837,0.000318,0.000088,0.000112,0.000059,0.000084,0.000161,0.000492,0.001018,0.000562,0.000050,0.000067,0.000167,0.001091,0.001881,0.002467,0.000944,0.000785,0.001078,0.000087,0.000109,0.000184,0.000163
11,,,,,,,,,,,,,,0.000039,0.000826,0.000491,0.000184,0.000091,0.000075,0.000104,0.000080,0.000057,0.000092,0.000112,0.000112,0.000145,0.000123,0.000255,0.000132,0.000088,0.000154,0.000105,0.000096,0.000110,0.000142,0.000207,0.000131,0.000056,0.000080,0.000108,0.000657,0.001210,0.001941,0.000722,0.000599,0.000760,0.000108,0.000424,0.000892,0.000698
12,,,,,,,,,,,,,,0.000030,0.000854,0.000592,0.000249,0.000628,0.001385,0.002792,0.003920,0.003740,0.004182,0.004062,0.004764,0.004415,0.004162,0.003566,0.001223,0.000321,0.000462,0.000261,0.000238,0.000273,0.000248,0.000296,0.000290,0.000106,0.000159,0.000107,0.000269,0.000336,0.000426,0.000200,0.000155,0.000197,0.000030,0.000065,0.000095,0.000078
13,,,,,,,,,,,,,,0.000052,0.000865,0.000578,0.000170,0.000089,0.000132,0.000117,0.000150,0.000117,0.000177,0.000213,0.000248,0.000280,0.000322,0.000291,0.000186,0.000103,0.000146,0.000118,0.000128,0.000151,0.000186,0.000138,0.000148,0.000071,0.000268,0.000164,0.000599,0.000662,0.000673,0.000205,0.000294,0.000502,0.000094,0.000486,0.001749,0.001331
14,,,,,,,,,,,,,,0.000022,0.000625,0.000629,0.000190,0.000223,0.000392,0.001150,0.002295,0.002833,0.003968,0.004596,0.005842,0.006070,0.005874,0.005438,0.001714,0.000495,0.000691,0.000306,0.000280,0.000296,0.000312,0.000513,0.000407,0.000072,0.000131,0.000102,0.000174,0.000203,0.000258,0.000172,0.000127,0.000131,0.000023,0.000052,0.000092,0.000127
15,,,,,,,,,,,,,,0.000015,0.000370,0.000195,0.000100,0.000084,0.000121,0.000145,0.000113,0.000188,0.000223,0.000252,0.000280,0.000331,0.000394,0.000388,0.000221,0.000093,0.000099,0.000087,0.000110,0.000334,0.000704,0.001218,0.001226,0.000434,0.000406,0.000313,0.000732,0.000724,0.000771,0.000273,0.000169,0.000174,0.000020,0.000053,0.000125,0.000135
16,,,,,,,,,,,,,,0.000039,0.001046,0.000732,0.000248,0.000200,0.000152,0.000139,0.000085,0.000115,0.000134,0.000197,0.000594,0.001038,0.002078,0.004085,0.002867,0.001387,0.002344,0.001042,0.000778,0.000747,0.000672,0.000708,0.000387,0.000079,0.000090,0.000121,0.000220,0.000251,0.000389,0.000194,0.000151,0.000203,0.000043,0.000125,0.000252,0.000265
17,,,,,,,,,,,,,,0.000125,0.002340,0.001586,0.000830,0.000955,0.001297,0.001844,0.002118,0.001672,0.001470,0.001111,0.000967,0.000712,0.000695,0.000668,0.000215,0.000130,0.000112,0.000118,0.000143,0.000126,0.000167,0.000457,0.000339,0.000143,0.000208,0.000115,0.000232,0.000232,0.000262,0.000115,0.000096,0.000144,0.000029,0.000105,0.000578,0.000572
18,,,,,,,,,,,,,,0.000039,0.000866,0.000649,0.000525,0.000408,0.000360,0.000356,0.000292,0.000241,0.000320,0.000279,0.000341,0.000269,0.000309,0.000310,0.000144,0.000067,0.000128,0.000103,0.000101,0.000164,0.000190,0.000281,0.000181,0.000052,0.000226,0.000077,0.000131,0.000156,0.000209,0.000094,0.000097,0.000127,0.000023,0.000042,0.000128,0.000160
19,,,,,,,,,,,,,,0.000213,0.004382,0.002904,0.001802,0.001003,0.000702,0.000588,0.000430,0.000326,0.000223,0.000222,0.000284,0.000372,0.000322,0.000310,0.000281,0.000105,0.000135,0.000150,0.000121,0.000114,0.000173,0.000297,0.000212,0.000065,0.000106,0.000072,0.000188,0.000173,0.000157,0.000168,0.000093,0.000172,0.000032,0.000113,0.000573,0.000821
20,,,,,,,,,,,,,,0.000058,0.001263,0.000732,0.000367,0.000192,0.000174,0.000135,0.000132,0.000182,0.000187,0.000202,0.000272,0.000245,0.000331,0.000404,0.000226,0.000130,0.000244,0.000144,0.000177,0.000236,0.000256,0.000461,0.000271,0.000058,0.000167,0.000281,0.001810,0.002443,0.002984,0.001063,0.000818,0.000951,0.000133,0.000532,0.001895,0.001148
21,,,,,,,,,,,,,,0.000023,0.000566,0.000482,0.000194,0.000129,0.000122,0.000250,0.000506,0.000881,0.001766,0.002533,0.003808,0.004645,0.004997,0.004580,0.001448,0.000326,0.000539,0.000201,0.000155,0.000178,0.000224,0.000354,0.000287,0.000051,0.000090,0.000062,0.000130,0.000177,0.000161,0.000098,0.000088,0.000096,0.000015,0.000045,0.000107,0.000094
22,,,,,,,,,,,,,,0.000275,0.004805,0.003392,0.001341,0.000670,0.000395,0.000311,0.000287,0.000156,0.000219,0.000226,0.000208,0.000259,0.000305,0.000260,0.000193,0.000120,0.000112,0.000170,0.000154,0.000190,0.000341,0.000469,0.000364,0.000107,0.000133,0.000134,0.000216,0.000239,0.000383,0.000264,0.000207,0.000334,0.000042,0.000159,0.001278,0.001438
23,,,,,,,,,,,,,,0.000035,0.001077,0.001716,0.002576,0.001857,0.000942,0.000509,0.000299,0.000225,0.000155,0.000098,0.000203,0.000229,0.000321,0.000319,0.000191,0.000081,0.000129,0.000113,0.000083,0.000152,0.000206,0.000319,0.000258,0.000085,0.000084,0.000073,0.000148,0.000140,0.000139,0.000112,0.000094,0.000119,0.000030,0.000051,0.000126,0.000114
