comparator,step,phase,trace_pair,linking_score,overlap_branch_contribution,nonoverlap_contribution
random_slow_drift,0,init,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,1,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,2,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,3,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,4,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,5,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,6,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
random_slow_drift,7,consolidation_replay,mu1_mu2,0.40413347073679173,0.35812692871901186,0.04600654201777987
random_slow_drift,8,consolidation_replay,mu1_mu2,0.37730113741567256,0.3310809826724783,0.04622015474319424
random_slow_drift,9,consolidation_replay,mu1_mu2,0.3794842852277259,0.3331741516322625,0.04631013359546343
random_slow_drift,10,consolidation_replay,mu1_mu2,0.3813250089898477,0.33517018752484173,0.04615482146500599
random_slow_drift,11,consolidation_replay,mu1_mu2,0.4053237601668641,0.35885158496621483,0.04647217520064928
random_slow_drift,12,consolidation_replay,mu1_mu2,0.3793466821460328,0.3325969230209331,0.04674975912509971
random_slow_drift,13,consolidation_replay,mu1_mu2,0.3764220767988582,0.3282505495585997,0.04817152724025847
random_slow_drift,14,consolidation_replay,mu1_mu2,0.35773924271284296,0.30814297331374213,0.049596269399100834
random_slow_drift,15,consolidation_replay,mu1_mu2,0.342854304797795,0.2971810095356386,0.04567329526215641
random_slow_drift,16,post_consolidation_probe,mu1_mu2,0.342854304797795,0.2971810095356386,0.04567329526215641
random_slow_drift,17,post_consolidation_probe,mu1_mu2,0.342854304797795,0.2971810095356386,0.04567329526215641
random_slow_drift,18,overlap_damage,mu1_mu2,0.32247271034495734,0.27516147202098507,0.04731123832397227
random_slow_drift,19,overlap_damage,mu1_mu2,0.3172470083876042,0.26985290728164524,0.047394101105958986
random_slow_drift,20,overlap_damage,mu1_mu2,0.32504612091714347,0.2761727069341578,0.04887341398298567
random_slow_drift,21,overlap_damage,mu1_mu2,0.3108857404783363,0.2632151915520959,0.0476705489262404
random_slow_drift,22,overlap_damage,mu1_mu2,0.35180353733206543,0.3054047521956508,0.046398785136414655
random_slow_drift,23,overlap_damage,mu1_mu2,0.3789713781863024,0.33108691748366714,0.047884460702635245
random_slow_drift,24,overlap_damage,mu1_mu2,0.3772435614163291,0.3293885461981227,0.0478550152182064
random_slow_drift,25,overlap_damage,mu1_mu2,0.3522926780043657,0.3033121049883336,0.04898057301603209
random_slow_drift,26,overlap_damage,mu1_mu2,0.36580670481424776,0.31638270774210736,0.0494239970721404
random_slow_drift,27,post_damage_probe,mu1_mu2,0.36580670481424776,0.31638270774210736,0.0494239970721404
random_slow_drift,28,post_damage_probe,mu1_mu2,0.36580670481424776,0.31638270774210736,0.0494239970721404
random_slow_drift,29,post_rescue_probe,mu1_mu2,0.36599624012964327,0.30936407546474376,0.05663216466489951
random_slow_drift,30,post_rescue_probe,mu1_mu2,0.36599624012964327,0.30936407546474376,0.05663216466489951
