comparator,step,phase,trace_pair,linking_score,overlap_branch_contribution,nonoverlap_contribution
replay_no_structure,0,init,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,1,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,2,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,3,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,4,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,5,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,6,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
replay_no_structure,7,consolidation_replay,mu1_mu2,0.40546249999999995,0.35944374999999995,0.04601875
replay_no_structure,8,consolidation_replay,mu1_mu2,0.40343518749999996,0.35764653124999995,0.045788656250000004
replay_no_structure,9,consolidation_replay,mu1_mu2,0.40141801156249995,0.35585829859374996,0.04555971296875
replay_no_structure,10,consolidation_replay,mu1_mu2,0.3994109215046875,0.3540790071007812,0.04533191440390627
replay_no_structure,11,consolidation_replay,mu1_mu2,0.39741386689716407,0.35230861206527736,0.04510525483188671
replay_no_structure,12,consolidation_replay,mu1_mu2,0.3954267975626783,0.350547069004951,0.044879728557727316
replay_no_structure,13,consolidation_replay,mu1_mu2,0.3934496635748648,0.3487943336599262,0.044655329914938646
replay_no_structure,14,consolidation_replay,mu1_mu2,0.3914824152569905,0.34705036199162653,0.04443205326536398
replay_no_structure,15,consolidation_replay,mu1_mu2,0.3895250031807056,0.34531511018166844,0.04420989299903716
replay_no_structure,16,post_consolidation_probe,mu1_mu2,0.3895250031807056,0.34531511018166844,0.04420989299903716
replay_no_structure,17,post_consolidation_probe,mu1_mu2,0.3895250031807056,0.34531511018166844,0.04420989299903716
replay_no_structure,18,overlap_damage,mu1_mu2,0.37894450041026034,0.33495565687621837,0.04398884353404198
replay_no_structure,19,overlap_damage,mu1_mu2,0.3686758864863035,0.32490698716993177,0.043768899316371734
replay_no_structure,20,overlap_damage,mu1_mu2,0.3587098323746237,0.3151597775548338,0.04355005481978991
replay_no_structure,21,overlap_damage,mu1_mu2,0.34903728877387974,0.3057049842281888,0.043332304545690925
replay_no_structure,22,overlap_damage,mu1_mu2,0.33964947772430565,0.29653383470134315,0.0431156430229625
replay_no_structure,23,overlap_damage,mu1_mu2,0.3305378844681506,0.2876378196603029,0.04290006480784769
replay_no_structure,24,overlap_damage,mu1_mu2,0.32169424955430226,0.2790086850704938,0.04268556448380845
replay_no_structure,25,overlap_damage,mu1_mu2,0.3131105611797684,0.270638424518379,0.04247213666138938
replay_no_structure,26,overlap_damage,mu1_mu2,0.3047790477609101,0.26251927178282763,0.04225977597808245
replay_no_structure,27,post_damage_probe,mu1_mu2,0.3047790477609101,0.26251927178282763,0.04225977597808245
replay_no_structure,28,post_damage_probe,mu1_mu2,0.3047790477609101,0.26251927178282763,0.04225977597808245
replay_no_structure,29,post_rescue_probe,mu1_mu2,0.23997098334585876,0.1995753039046846,0.04039567944117417
replay_no_structure,30,post_rescue_probe,mu1_mu2,0.23997098334585876,0.1995753039046846,0.04039567944117417
