comparator,step,phase,trace_id,recall_support,readout_value,context_label
fast_context_only,0,init,mu1,0.0,0.18242552380635632,none
fast_context_only,0,init,mu2,0.0,0.18242552380635632,none
fast_context_only,1,encode_mu_1,mu1,1.3693651244941076,0.9952593335954244,none
fast_context_only,1,encode_mu_1,mu2,0.621098575351703,0.8327846909520257,none
fast_context_only,2,encode_mu_1,mu1,1.3693651244941076,0.9952593335954244,none
fast_context_only,2,encode_mu_1,mu2,0.621098575351703,0.8327846909520257,none
fast_context_only,3,encode_mu_2,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,3,encode_mu_2,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,4,encode_mu_2,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,4,encode_mu_2,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,5,pre_consolidation_probe,mu1,1.3693651244941076,0.9952593335954244,none
fast_context_only,5,pre_consolidation_probe,mu2,0.621098575351703,0.8327846909520257,none
fast_context_only,6,pre_consolidation_probe,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,6,pre_consolidation_probe,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,7,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,7,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,8,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,8,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,9,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,9,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,10,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,10,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,11,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,11,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,12,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,12,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,13,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,13,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,14,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,14,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,15,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,15,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,16,post_consolidation_probe,mu1,1.3693651244941076,0.9952593335954244,none
fast_context_only,16,post_consolidation_probe,mu2,0.621098575351703,0.8327846909520257,none
fast_context_only,17,post_consolidation_probe,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,17,post_consolidation_probe,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,18,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,18,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,19,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,19,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,20,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,20,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,21,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,21,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,22,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,22,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,23,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,23,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,24,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,24,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,25,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,25,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,26,overlap_damage,mu2,1.3693651244941076,0.9952593335954244,none
fast_context_only,26,overlap_damage,mu1,0.621098575351703,0.8327846909520257,none
fast_context_only,27,post_damage_probe,mu1,1.3419164462333875,0.9945657366935886,none
fast_context_only,27,post_damage_probe,mu2,0.5936498970909827,0.8127911706246703,none
fast_context_only,28,post_damage_probe,mu2,1.3419164462333875,0.9945657366935886,none
fast_context_only,28,post_damage_probe,mu1,0.5936498970909827,0.8127911706246703,none
fast_context_only,29,post_rescue_probe,mu1,1.3071665308177711,0.9935412042701192,none
fast_context_only,29,post_rescue_probe,mu2,0.5588999816753664,0.7849078714367241,none
fast_context_only,30,post_rescue_probe,mu2,1.3071665308177711,0.9935412042701192,none
fast_context_only,30,post_rescue_probe,mu1,0.5588999816753664,0.7849078714367241,none
