comparator,context_condition,branch_id,x_b,fast_access,slow_access,effective_access,trace_id,recall_support,readout_value
replay_no_structure,alpha_probe,b0,0.4167160409084563,0.8807970779778823,0.9462248486680844,0.8334320818169126,,,
replay_no_structure,alpha_probe,b1,0.4167160409084563,0.8807970779778823,0.9462248486680844,0.8334320818169126,,,
replay_no_structure,alpha_probe,b2,0.34587289646584063,0.7310585786300049,0.9462248486680844,0.6917457929316813,,,
replay_no_structure,alpha_probe,b3,0.34587289646584063,0.7310585786300049,0.9462248486680844,0.6917457929316813,,,
replay_no_structure,alpha_probe,trace_level,,,,,mu_alpha,0.4131738836863255,0.6378095197552863
replay_no_structure,alpha_probe,trace_level,,,,,mu_beta,0.2647179081825767,0.4560114055727813
replay_no_structure,beta_probe,b0,0.34587289646584063,0.7310585786300049,0.9462248486680844,0.6917457929316813,,,
replay_no_structure,beta_probe,b1,0.34587289646584063,0.7310585786300049,0.9462248486680844,0.6917457929316813,,,
replay_no_structure,beta_probe,b2,0.4167160409084563,0.8807970779778823,0.9462248486680844,0.8334320818169126,,,
replay_no_structure,beta_probe,b3,0.4167160409084563,0.8807970779778823,0.9462248486680844,0.8334320818169126,,,
replay_no_structure,beta_probe,trace_level,,,,,mu_alpha,0.2620612902659786,0.45271830849881806
replay_no_structure,beta_probe,trace_level,,,,,mu_beta,0.40963172646419477,0.6337082742117869
