comparator,step,phase,branch_id,is_overlap,x_b,fast_access,slow_access,effective_access,eligibility,translation_readiness,structural_accessibility,input_drive
fast_context_only,0,init,b0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
fast_context_only,0,init,b1,True,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
fast_context_only,0,init,b2,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
fast_context_only,0,init,b3,False,0.0,0.0,0.0,0.0,0.0,0.0,0.5,nan
fast_context_only,1,encode_mu_1,b0,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.8803135872263584,0.0,0.5,1.0
fast_context_only,1,encode_mu_1,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.6789210541063354,0.0,0.5,0.8
fast_context_only,1,encode_mu_1,b2,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,1,encode_mu_1,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,2,encode_mu_1,b0,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
fast_context_only,2,encode_mu_1,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
fast_context_only,2,encode_mu_1,b2,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,2,encode_mu_1,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,3,encode_mu_2,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.88,0.0,0.5,0.0
fast_context_only,3,encode_mu_2,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
fast_context_only,3,encode_mu_2,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.8803135872263584,0.0,0.5,1.0
fast_context_only,3,encode_mu_2,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,4,encode_mu_2,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.7744,0.0,0.5,0.0
fast_context_only,4,encode_mu_2,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
fast_context_only,4,encode_mu_2,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
fast_context_only,4,encode_mu_2,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,5,pre_consolidation_probe,b0,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
fast_context_only,5,pre_consolidation_probe,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
fast_context_only,5,pre_consolidation_probe,b2,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.88,0.0,0.5,0.0
fast_context_only,5,pre_consolidation_probe,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,6,pre_consolidation_probe,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.88,0.0,0.5,0.0
fast_context_only,6,pre_consolidation_probe,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,1.0,0.0,0.5,0.8
fast_context_only,6,pre_consolidation_probe,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,1.0,0.0,0.5,1.0
fast_context_only,6,pre_consolidation_probe,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.0,0.5,0.0
fast_context_only,7,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.7744,0.38000000000000006,0.5,nan
fast_context_only,7,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.88,0.68,0.5,nan
fast_context_only,7,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.88,0.38000000000000006,0.5,nan
fast_context_only,7,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.04000000000000001,0.5,nan
fast_context_only,8,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.681472,0.7410000000000001,0.5,nan
fast_context_only,8,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.7744,1.0,0.5,nan
fast_context_only,8,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.7744,0.7410000000000001,0.5,nan
fast_context_only,8,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.07800000000000001,0.5,nan
fast_context_only,9,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.59969536,1.0,0.5,nan
fast_context_only,9,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.681472,1.0,0.5,nan
fast_context_only,9,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.681472,1.0,0.5,nan
fast_context_only,9,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.11410000000000002,0.5,nan
fast_context_only,10,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.5277319168,1.0,0.5,nan
fast_context_only,10,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.59969536,1.0,0.5,nan
fast_context_only,10,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.59969536,1.0,0.5,nan
fast_context_only,10,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.14839500000000003,0.5,nan
fast_context_only,11,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.46440408678399997,1.0,0.5,nan
fast_context_only,11,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.5277319168,1.0,0.5,nan
fast_context_only,11,consolidation_replay,b2,False,0.8803135872263584,0.9241418199787566,0.9525741268224334,0.8803135872263584,0.5277319168,1.0,0.5,nan
fast_context_only,11,consolidation_replay,b3,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.0,0.18097525000000003,0.5,nan
fast_context_only,12,consolidation_replay,b0,False,0.0,0.6224593312018546,0.9525741268224334,0.5929386539020824,0.40867559636991996,1.0,0.5,nan
fast_context_only,12,consolidation_replay,b1,True,0.6789210541063354,0.8909031788043871,0.9525741268224334,0.8486513176329192,0.46440408678399997,1.0,0.5,nan
