comparator,step,phase,trace_pair,linking_score,overlap_branch_contribution,nonoverlap_contribution
fast_context_only,0,init,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,1,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,2,encode_mu_1,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,3,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,4,encode_mu_2,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,5,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,6,pre_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,7,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,8,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,9,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,10,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,11,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,12,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,13,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,14,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,15,consolidation_replay,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,16,post_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,17,post_consolidation_probe,mu1_mu2,0.4075,0.36124999999999996,0.04625000000000001
fast_context_only,18,overlap_damage,mu1_mu2,0.3966625,0.35041249999999996,0.04625000000000001
fast_context_only,19,overlap_damage,mu1_mu2,0.38615012499999996,0.33990012499999994,0.04625000000000001
fast_context_only,20,overlap_damage,mu1_mu2,0.37595312124999997,0.32970312124999995,0.04625000000000001
fast_context_only,21,overlap_damage,mu1_mu2,0.36606202761249995,0.31981202761249994,0.04625000000000001
fast_context_only,22,overlap_damage,mu1_mu2,0.35646766678412495,0.31021766678412493,0.04625000000000001
fast_context_only,23,overlap_damage,mu1_mu2,0.3471611367806012,0.30091113678060116,0.04625000000000001
fast_context_only,24,overlap_damage,mu1_mu2,0.3381338026771832,0.29188380267718317,0.04625000000000001
fast_context_only,25,overlap_damage,mu1_mu2,0.32937728859686766,0.28312728859686764,0.04625000000000001
fast_context_only,26,overlap_damage,mu1_mu2,0.3208834699389616,0.2746334699389616,0.04625000000000001
fast_context_only,27,post_damage_probe,mu1_mu2,0.3208834699389616,0.2746334699389616,0.04625000000000001
fast_context_only,28,post_damage_probe,mu1_mu2,0.3208834699389616,0.2746334699389616,0.04625000000000001
fast_context_only,29,post_rescue_probe,mu1_mu2,0.2550348935936735,0.2087848935936735,0.046249999999999986
fast_context_only,30,post_rescue_probe,mu1_mu2,0.2550348935936735,0.2087848935936735,0.046249999999999986
