comparator,context_condition,branch_id,x_b,fast_access,slow_access,effective_access,trace_id,recall_support,readout_value
fixed_allocation_only,alpha_probe,b0,0.419512253731266,0.8807970779778823,0.9525741268224334,0.839024507462532,,,
fixed_allocation_only,alpha_probe,b1,0.419512253731266,0.8807970779778823,0.9525741268224334,0.839024507462532,,,
fixed_allocation_only,alpha_probe,b2,0.3481937435972631,0.7310585786300049,0.9525741268224334,0.6963874871945261,,,
fixed_allocation_only,alpha_probe,b3,0.3481937435972631,0.7310585786300049,0.9525741268224334,0.6963874871945261,,,
fixed_allocation_only,alpha_probe,trace_level,,,,,mu_alpha,0.41594632822456584,0.6410056546233587
fixed_allocation_only,alpha_probe,trace_level,,,,,mu_beta,0.2664941959579975,0.45821542632297757
fixed_allocation_only,beta_probe,b0,0.3481937435972631,0.7310585786300049,0.9525741268224334,0.6963874871945261,,,
fixed_allocation_only,beta_probe,b1,0.3481937435972631,0.7310585786300049,0.9525741268224334,0.6963874871945261,,,
fixed_allocation_only,beta_probe,b2,0.419512253731266,0.8807970779778823,0.9525741268224334,0.839024507462532,,,
fixed_allocation_only,beta_probe,b3,0.419512253731266,0.8807970779778823,0.9525741268224334,0.839024507462532,,,
fixed_allocation_only,beta_probe,trace_level,,,,,mu_alpha,0.26381975182797235,0.4548976216684975
fixed_allocation_only,beta_probe,trace_level,,,,,mu_beta,0.41238040271786575,0.6368925152040105
