comparator,context_condition,branch_id,x_b,fast_access,slow_access,effective_access,trace_id,recall_support,readout_value
full_model,alpha_probe,b0,0.43497222167783417,0.8807970779778823,0.9876786209973252,0.8699444433556683,,,
full_model,alpha_probe,b1,0.4167160409084563,0.8807970779778823,0.9462248486680844,0.8334320818169126,,,
full_model,alpha_probe,b2,0.3621516598784983,0.7310585786300049,0.9907596202678209,0.7243033197569966,,,
full_model,alpha_probe,b3,0.34587289646584063,0.7310585786300049,0.9462248486680844,0.6917457929316813,,,
full_model,alpha_probe,trace_level,,,,,mu_alpha,0.4304183845493985,0.6574817177263266
full_model,alpha_probe,trace_level,,,,,mu_beta,0.27639068026497227,0.47052257304450407
full_model,beta_probe,b0,0.3610254644047739,0.7310585786300049,0.9876786209973252,0.7220509288095478,,,
full_model,beta_probe,b1,0.34587289646584063,0.7310585786300049,0.9462248486680844,0.6917457929316813,,,
full_model,beta_probe,b2,0.4363290892551865,0.8807970779778823,0.9907596202678209,0.872658178510373,,,
full_model,beta_probe,b3,0.4167160409084563,0.8807970779778823,0.9462248486680844,0.8334320818169126,,,
full_model,beta_probe,trace_level,,,,,mu_alpha,0.2730247629377609,0.4663319777624406
full_model,beta_probe,trace_level,,,,,mu_beta,0.4280410983731986,0.6547999108461094
