comparator,step,phase,trace_id,recall_support,readout_value,context_label
random_slow_drift,0,init,mu1,0.0,0.18242552380635632,none
random_slow_drift,0,init,mu2,0.0,0.18242552380635632,none
random_slow_drift,1,encode_mu_1,mu1,1.3693651244941076,0.9952593335954244,none
random_slow_drift,1,encode_mu_1,mu2,0.621098575351703,0.8327846909520257,none
random_slow_drift,2,encode_mu_1,mu1,1.3693651244941076,0.9952593335954244,none
random_slow_drift,2,encode_mu_1,mu2,0.621098575351703,0.8327846909520257,none
random_slow_drift,3,encode_mu_2,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,3,encode_mu_2,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,4,encode_mu_2,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,4,encode_mu_2,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,5,pre_consolidation_probe,mu1,1.3693651244941076,0.9952593335954244,none
random_slow_drift,5,pre_consolidation_probe,mu2,0.621098575351703,0.8327846909520257,none
random_slow_drift,6,pre_consolidation_probe,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,6,pre_consolidation_probe,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,7,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,7,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,8,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,8,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,9,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,9,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,10,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,10,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,11,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,11,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,12,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,12,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,13,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,13,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,14,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,14,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,15,consolidation_replay,mu2,1.3693651244941076,0.9952593335954244,none
random_slow_drift,15,consolidation_replay,mu1,0.621098575351703,0.8327846909520257,none
random_slow_drift,16,post_consolidation_probe,mu1,1.3506580403300177,0.9947969321313067,none
random_slow_drift,16,post_consolidation_probe,mu2,0.6024879392673395,0.8194224883087188,none
random_slow_drift,17,post_consolidation_probe,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,17,post_consolidation_probe,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,18,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,18,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,19,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,19,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,20,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,20,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,21,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,21,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,22,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,22,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,23,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,23,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,24,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,24,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,25,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,25,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,26,overlap_damage,mu2,1.3476837516821107,0.9947193884371863,none
random_slow_drift,26,overlap_damage,mu1,0.6023227010091223,0.8193002051191459,none
random_slow_drift,27,post_damage_probe,mu1,1.3716856864350722,0.9953137644926541,none
random_slow_drift,27,post_damage_probe,mu2,0.6098015982760745,0.8247704087889557,none
random_slow_drift,28,post_damage_probe,mu2,1.354308649135214,0.9948905615945691,none
random_slow_drift,28,post_damage_probe,mu1,0.6088362073149713,0.8240717031254217,none
random_slow_drift,29,post_rescue_probe,mu1,1.3794144057295847,0.995490602040952,none
random_slow_drift,29,post_rescue_probe,mu2,0.6080812789124004,0.8235237952648068,none
random_slow_drift,30,post_rescue_probe,mu2,1.3667352499360113,0.9951968865462915,none
random_slow_drift,30,post_rescue_probe,mu1,0.607376881368313,0.8230113531281388,none
