comparator,context_condition,branch_id,x_b,fast_access,slow_access,effective_access,trace_id,recall_support,readout_value
random_slow_drift,alpha_probe,b0,0.4194581805519419,0.8807970779778823,0.9524513444457064,0.8389163611038838,,,
random_slow_drift,alpha_probe,b1,0.40598731671852406,0.8807970779778823,0.9218634504341959,0.8119746334370481,,,
random_slow_drift,alpha_probe,b2,0.34684171684925236,0.7310585786300049,0.9488753076373979,0.6936834336985047,,,
random_slow_drift,alpha_probe,b3,0.3495689361692599,0.7310585786300049,0.9563363221162056,0.6991378723385198,,,
random_slow_drift,alpha_probe,trace_level,,,,,mu_alpha,0.41515381417513647,0.6400932896541454
random_slow_drift,alpha_probe,trace_level,,,,,mu_beta,0.2650723650208878,0.4564510814192414
random_slow_drift,beta_probe,b0,0.3481488630423577,0.7310585786300049,0.9524513444457064,0.6962977260847154,,,
random_slow_drift,beta_probe,b1,0.3369680918826876,0.7310585786300049,0.9218634504341959,0.6739361837653752,,,
random_slow_drift,beta_probe,b2,0.4178832991661921,0.8807970779778823,0.9488753076373979,0.8357665983323842,,,
random_slow_drift,beta_probe,b3,0.42116911904203436,0.8807970779778823,0.9563363221162056,0.8423382380840687,,,
random_slow_drift,beta_probe,trace_level,,,,,mu_alpha,0.26330740971792443,0.45426247885663373
random_slow_drift,beta_probe,trace_level,,,,,mu_beta,0.4103508169958252,0.6345424562991109
