,day0,day1,day2,day3,day4,day5
day0,1.000000,0.424633,0.352262,0.374981,0.363524,0.391327
day1,0.424633,1.000000,0.446562,0.428011,0.366336,0.389081
day2,0.352262,0.446562,1.000000,0.432198,0.327807,0.363697
day3,0.374981,0.428011,0.432198,1.000000,0.417652,0.391922
day4,0.363524,0.366336,0.327807,0.417652,1.000000,0.352202
day5,0.391327,0.389081,0.363697,0.391922,0.352202,1.000000
