,day0,day1,day2,day3,day4,day5
day0,1.000000,0.290473,0.378137,0.422520,0.310335,0.401032
day1,0.290473,1.000000,0.261617,0.289582,0.281104,0.279603
day2,0.378137,0.261617,1.000000,0.370713,0.312975,0.342940
day3,0.422520,0.289582,0.370713,1.000000,0.361200,0.386193
day4,0.310335,0.281104,0.312975,0.361200,1.000000,0.350327
day5,0.401032,0.279603,0.342940,0.386193,0.350327,1.000000
