,day0,day1,day2,day3,day4,day5
day0,1.000000,0.245938,0.219312,0.155009,0.179481,0.131098
day1,0.245938,1.000000,0.331450,0.335246,0.284224,0.269961
day2,0.219312,0.331450,1.000000,0.346560,0.278872,0.248465
day3,0.155009,0.335246,0.346560,1.000000,0.310478,0.212755
day4,0.179481,0.284224,0.278872,0.310478,1.000000,0.267856
day5,0.131098,0.269961,0.248465,0.212755,0.267856,1.000000
