,day0,day1,day2,day3,day4,day5
day0,1.000000,0.250587,0.210782,0.168627,0.242853,0.190642
day1,0.250587,1.000000,0.312000,0.240792,0.300240,0.291682
day2,0.210782,0.312000,1.000000,0.242637,0.357503,0.349179
day3,0.168627,0.240792,0.242637,1.000000,0.253811,0.316274
day4,0.242853,0.300240,0.357503,0.253811,1.000000,0.369632
day5,0.190642,0.291682,0.349179,0.316274,0.369632,1.000000
