,day0,day1,day2,day3,day4,day5
day0,1.000000,0.224922,0.193610,0.232387,0.244254,0.460470
day1,0.224922,1.000000,0.298423,0.301958,0.353813,0.259382
day2,0.193610,0.298423,1.000000,0.276074,0.286897,0.231539
day3,0.232387,0.301958,0.276074,1.000000,0.369038,0.314801
day4,0.244254,0.353813,0.286897,0.369038,1.000000,0.338087
day5,0.460470,0.259382,0.231539,0.314801,0.338087,1.000000
