,day0,day1,day2,day3,day4,day5
day0,1.000000,0.284143,0.271687,0.269221,0.276053,0.296120
day1,0.284143,1.000000,0.269664,0.275443,0.295813,0.293123
day2,0.271687,0.269664,1.000000,0.264645,0.261213,0.259179
day3,0.269221,0.275443,0.264645,1.000000,0.256155,0.283259
day4,0.276053,0.295813,0.261213,0.256155,1.000000,0.271349
day5,0.296120,0.293123,0.259179,0.283259,0.271349,1.000000
