,day0,day1,day2,day3,day4,day5
day0,1.000000,0.333104,0.352851,0.372435,0.341837,0.301254
day1,0.333104,1.000000,0.365150,0.361029,0.326352,0.300136
day2,0.352851,0.365150,1.000000,0.369913,0.338631,0.313429
day3,0.372435,0.361029,0.369913,1.000000,0.356862,0.323229
day4,0.341837,0.326352,0.338631,0.356862,1.000000,0.299947
day5,0.301254,0.300136,0.313429,0.323229,0.299947,1.000000
