,day0,day1,day2,day3,day4,day5
day0,1.000000,0.430427,0.409385,0.371547,0.381912,0.363784
day1,0.430427,1.000000,0.460177,0.421030,0.408955,0.348426
day2,0.409385,0.460177,1.000000,0.421518,0.401792,0.348755
day3,0.371547,0.421030,0.421518,1.000000,0.396281,0.320178
day4,0.381912,0.408955,0.401792,0.396281,1.000000,0.326874
day5,0.363784,0.348426,0.348755,0.320178,0.326874,1.000000
