,day0,day1,day2,day3,day4,day5
day0,1.000000,0.340442,0.373005,0.388997,0.327977,0.351650
day1,0.340442,1.000000,0.343341,0.337905,0.308881,0.282049
day2,0.373005,0.343341,1.000000,0.375723,0.315410,0.300774
day3,0.388997,0.337905,0.375723,1.000000,0.329225,0.324663
day4,0.327977,0.308881,0.315410,0.329225,1.000000,0.321335
day5,0.351650,0.282049,0.300774,0.324663,0.321335,1.000000
