,day0,day1,day3,day4,day5
day0,1.000000,0.323867,0.326203,0.317228,0.314966
day1,0.323867,1.000000,0.312207,0.316630,0.345287
day3,0.326203,0.312207,1.000000,0.334485,0.300267
day4,0.317228,0.316630,0.334485,1.000000,0.295615
day5,0.314966,0.345287,0.300267,0.295615,1.000000
