,day0,day1,day2,day3,day4,day5
day0,1.000000,0.297909,0.319352,0.285807,0.261126,0.208532
day1,0.297909,1.000000,0.276141,0.263441,0.259307,0.227303
day2,0.319352,0.276141,1.000000,0.288937,0.242998,0.203385
day3,0.285807,0.263441,0.288937,1.000000,0.265593,0.224595
day4,0.261126,0.259307,0.242998,0.265593,1.000000,0.233898
day5,0.208532,0.227303,0.203385,0.224595,0.233898,1.000000
