,day0,day1,day2,day3,day4,day5
day0,1.000000,0.277675,0.245379,0.246476,0.182538,0.193877
day1,0.277675,1.000000,0.232403,0.215197,0.203300,0.222104
day2,0.245379,0.232403,1.000000,0.237567,0.180951,0.175281
day3,0.246476,0.215197,0.237567,1.000000,0.178322,0.167367
day4,0.182538,0.203300,0.180951,0.178322,1.000000,0.163657
day5,0.193877,0.222104,0.175281,0.167367,0.163657,1.000000
