comparator,motif,branch_id,mb_pre,mb_post,E_b_enc,P_b_post,delta_mb,is_overlap_branch
full_model,strong_overlap_n4,b0,0.5,0.7439711773754457,0.832213336260261,1.0,0.2439711773754457,False
full_model,strong_overlap_n4,b1,0.5,0.8014113262457242,1.0,1.0,0.3014113262457242,True
full_model,strong_overlap_n4,b2,0.5,0.7791481601240312,1.0,1.0,0.2791481601240312,False
full_model,strong_overlap_n4,b3,0.5,0.48574995557463224,0.1025839838602069,0.2958004722203126,-0.014250044425367758,False
