comparator,motif,trace_i,trace_j,L_struct_pre,L_struct_post,L_behav_post,L_struct_dmg,is_expected_linked
full_model,chain_overlap_n8,tc0,tc1,0.4325,0.6466698668407118,0.6466698668407118,0.5117597756453681,True
full_model,chain_overlap_n8,tc0,tc2,0.09250000000000001,0.1363784812550509,0.1363784812550509,0.1241048153730209,False
full_model,chain_overlap_n8,tc1,tc2,0.4325,0.6735242446458298,0.6735242446458298,0.6375568526571821,True
