motif_type,n_runs,n_joint_pass,pct_joint_pass,main_failure,mean_gSIG_A,mean_gSIG_B,mean_gSIG_E,mean_false_linking_rate
canonical,4,4,100.0,none,0.23354610460754943,0.23885660002660197,1.574619555504998,0.0
weak_overlap,4,0,0.0,gSIG_A,-0.07439254756018907,-0.040262127129820864,0.0,0.0
strong_overlap,4,4,100.0,none,0.23635019047696004,0.2951365907914816,1.5662055094241272,0.0
chain_overlap,3,3,100.0,none,0.2174030186481244,0.18371857448821996,1.416677768583974,0.19168685554649334
hub_overlap,3,3,100.0,none,0.24256036762662755,0.23385236944297097,1.5825162220123117,0.0
sparse_random,6,6,100.0,none,0.15982972537800982,0.3505543278511336,1.2891839563142724,0.2314502580147345
