run_id,motif_type,n_branches,n_traces,seed,gSIG_A,gSIG_B,gSIG_C,gSIG_D,gSIG_E,NR_targeted,NR_generic,gSIG_A_pass,gSIG_B_pass,gSIG_C_pass,gSIG_D_pass,gSIG_E_pass,joint_pass,first_failed,false_linking_rate,specificity_index,delta_L_expected_pairs,delta_L_unlinked_pairs
canonical_n4,canonical,4,2,42,0.12898414268494385,0.2392484762482996,0.7502615352920643,0.14142208730291717,1.5744404926527844,1.0220307647023932,-0.5524097279503911,True,True,True,True,True,True,none,nan,nan,0.2392484762482996,0.0
canonical_n8,canonical,8,2,42,0.23405450960879387,0.2391059758040459,0.7502615352920641,0.1416363536564491,1.574506035515117,1.021699091590521,-0.5528069439245958,True,True,True,True,True,True,none,nan,nan,0.2391059758040459,0.0
canonical_n16,canonical,16,2,42,0.27608265637833385,0.23882097491553855,0.7502615352920639,0.142064886363513,1.5746365281179857,1.0210387468004207,-0.5535977813175649,True,True,True,True,True,True,none,nan,nan,0.23882097491553855,0.0
canonical_n32,canonical,32,2,42,0.2950631097581261,0.23825097313852378,0.7502615352920635,0.14292195177764067,1.5748951657341048,1.0197299369631272,-0.5551652287709775,True,True,True,True,True,True,none,nan,nan,0.23825097313852378,0.0
weak_overlap_n4,weak_overlap,4,2,42,-0.1748541518104868,-0.040654003351518475,0.7502615352920643,-0.01797837307890754,nan,nan,nan,False,False,True,False,False,False,gSIG_A,nan,nan,0.0,0.040654003351518475
weak_overlap_n8,weak_overlap,8,2,42,-0.08030205369255952,-0.040511502907264796,0.7502615352920641,-0.018192639432439484,nan,nan,nan,False,False,True,False,False,False,gSIG_A,nan,nan,0.0,0.040511502907264796
weak_overlap_n16,weak_overlap,16,2,42,-0.03302600463359588,-0.04022650201875744,0.7502615352920639,-0.018621172139503372,nan,nan,nan,False,False,True,False,False,False,gSIG_A,nan,nan,0.0,0.04022650201875744
weak_overlap_n32,weak_overlap,32,2,42,-0.00938798010411406,-0.03965650024174275,0.7502615352920634,-0.019478237553631123,nan,nan,nan,False,False,True,False,False,False,gSIG_A,nan,nan,0.0,0.03965650024174275
strong_overlap_n4,strong_overlap,4,2,42,0.13178822855435446,0.2955284670131792,0.7502615352920643,0.1764954858286325,1.5660339164325214,1.0106535175537643,-0.555380398878757,True,True,True,True,True,True,none,nan,nan,0.2955284670131792,0.0
strong_overlap_n8,strong_overlap,8,2,42,0.23685859547820448,0.2953859665689256,0.7502615352920641,0.17670975218216445,1.5660966435787285,1.010401470293431,-0.5556951732852975,True,True,True,True,True,True,none,nan,nan,0.2953859665689256,0.0
strong_overlap_n16,strong_overlap,16,2,42,0.27888674224774446,0.2951009656804182,0.7502615352920639,0.17713828488922834,1.5662216426228537,1.0098992050299724,-0.5563224375928812,True,True,True,True,True,True,none,nan,nan,0.2951009656804182,0.0
strong_overlap_n32,strong_overlap,32,2,42,0.2978671956275367,0.2945309639034034,0.7502615352920634,0.177995350303356,1.5664698350624051,1.008901929875489,-0.5575679051869161,True,True,True,True,True,True,none,nan,nan,0.2945309639034034,0.0
chain_overlap_n8,chain_overlap,8,3,42,0.1630426254880964,0.18371857448821993,0.7398201626148477,0.07316507570996572,1.4128821549681665,0.9810692201984776,-0.43181293476968885,True,True,True,True,True,True,none,0.1927901971831558,0.18371857448821993,0.22759705574327083,0.04387848125505088
chain_overlap_n16,chain_overlap,16,3,42,0.2309931169381314,0.18371857448822,0.7398201626148476,0.07316507570996575,1.4157837138948832,0.9808921929027646,-0.4348915209921186,True,True,True,True,True,True,none,0.19196396212100658,0.18371857448822,0.2273643326236553,0.04364575813543531
chain_overlap_n32,chain_overlap,32,3,42,0.2581733135181454,0.18371857448822,0.7398201626148472,0.07316507570996572,1.4213674368888716,0.9805153285822619,-0.4408521083066097,True,True,True,True,True,True,none,0.19030640733531762,0.18371857448822,0.22689888638442418,0.04318031189620418
hub_overlap_n8,hub_overlap,8,4,42,0.1918289703444752,0.234108909400394,0.7461965855842518,0.14141593095040875,1.5826749497331702,1.0320514210035874,-0.5506235287295828,True,True,True,True,True,True,none,nan,nan,0.234108909400394,0.0
hub_overlap_n16,hub_overlap,16,4,42,0.2539081801765827,0.23391650443232673,0.7461965855842522,0.1418485481025656,1.5825553601451277,1.0313703479125333,-0.5511850122325942,True,True,True,True,True,True,none,nan,nan,0.23391650443232673,0.0
hub_overlap_n32,hub_overlap,32,4,42,0.28194395235882475,0.23353169449619227,0.7461965855842531,0.1427137824068793,1.5823183561586371,1.0300205892658505,-0.5522977668927865,True,True,True,True,True,True,none,nan,nan,0.23353169449619227,0.0
sparse_random_n8_s42,sparse_random,8,4,42,0.19530981106383993,0.20590940405901162,0.6578776219372638,0.1250653854115439,1.5892148935857673,1.0399600962589444,-0.5492547973268228,True,True,True,True,True,True,none,nan,nan,0.20590940405901162,0.0
sparse_random_n8_s123,sparse_random,8,4,123,0.24617427948165402,0.19871675486579835,0.28983087918458605,0.04460708775730175,1.1905385343072037,0.8340961626702583,-0.3564423716369453,True,True,True,True,True,True,none,0.1602141478813208,0.19871675486579835,0.23662789074674187,0.037911135880943525
sparse_random_n16_s42,sparse_random,16,4,42,0.10860689257297498,0.2669975592933513,1.4798975221350914,0.05394564776372849,1.2445430395846746,0.9428808017161687,-0.3016622378685059,True,True,True,True,True,True,none,nan,nan,0.2669975592933513,0.0
sparse_random_n16_s123,sparse_random,16,4,123,0.1212467605935735,0.20035068710613554,1.365181243222068,0.04180179388875231,1.2475037546044618,0.962328070336809,-0.2851756842676529,True,True,True,True,True,True,none,0.3026863681481482,0.20035068710613554,0.2873178982233079,0.08696721111717234
sparse_random_n32_s42,sparse_random,32,4,42,0.13498381278834398,0.594586895341413,2.792908251830035,0.1301994918435556,1.2449935589416954,0.8992707956164949,-0.34572276332520047,True,True,True,True,True,True,none,nan,nan,0.594586895341413,0.0
sparse_random_n32_s123,sparse_random,32,4,123,0.15265679576767255,0.6367646664410918,1.6454594826716549,0.1361953231396795,1.2183099568618316,0.8866149606285741,-0.33169499623325754,True,True,True,True,True,True,none,nan,nan,0.6367646664410918,0.0
