is_shuffled,seed,motif_type,n_branches,n_traces,n_overlap_branches,gSIG_A,gSIG_B,gSIG_E,B1_linking_gain,NR_targeted,NR_generic
False,42,canonical,4,2,1,0.12898414268494385,nan,1.5744404926527844,0.2392484762482996,1.0220307647023932,-0.5524097279503911
True,100,canonical,4,2,1,-0.029754804927598633,nan,2.2696181767866417,0.13008640642449376,1.8185388926385542,-0.45107928414808734
True,101,canonical,4,2,1,-0.013096055385734995,nan,2.207780330773133,0.13855366658868484,1.7376017552677647,-0.47017857550536846
True,102,canonical,4,2,1,0.06427119623499081,nan,1.9156796399716725,0.17580449400097697,1.4055846678463229,-0.5100949721253495
True,103,canonical,4,2,1,0.061345522477123965,nan,1.965156353205864,0.17442823585596023,1.417371911979157,-0.547784441226707
True,104,canonical,4,2,1,-0.059887808305295026,nan,2.432823444692539,0.11134926164578385,2.0038719081441227,-0.42895153654841645
True,105,canonical,4,2,1,0.036271362432738125,nan,2.2452331457744084,0.16262273863852283,1.5317270421638025,-0.7135061036106056
True,106,canonical,4,2,1,-0.04487221286903356,nan,2.3883009978666965,0.12406252897831305,1.8867861424820302,-0.5015148553846661
True,107,canonical,4,2,1,-0.028244569936482194,nan,2.2544500184401466,0.13186300676904206,1.7917470476956656,-0.4627029707444808
True,108,canonical,4,2,1,0.05018623328663718,nan,1.9537437977873884,0.17077778307264235,1.4489238156551283,-0.5048199821322602
True,109,canonical,4,2,1,-0.018295368767502707,nan,2.216138294546321,0.1387248549728367,1.7558312442982476,-0.4603070502480735
True,110,canonical,4,2,1,0.03286784274534013,nan,2.024012161405875,0.16281736207901132,1.5259351463780961,-0.49807701502777857
True,111,canonical,4,2,1,0.007263684258327824,nan,2.1231019142537777,0.1496343941877063,1.6412525687743722,-0.4818493454794055
True,112,canonical,4,2,1,0.022501175027933584,nan,2.312909497728157,0.15338605845588338,1.6015712903946742,-0.7113382073334824
True,113,canonical,4,2,1,0.01879280917222559,nan,2.076907929233183,0.15456566975918085,1.590458353413644,-0.486449575819539
True,114,canonical,4,2,1,-0.003250559581613577,nan,2.4041069443220566,0.14439657877622636,1.6927282617082053,-0.7113786826138513
True,115,canonical,4,2,1,-0.05503160638872895,nan,2.3938242684888014,0.11739347169227143,1.9479536822469155,-0.44587058624188614
True,116,canonical,4,2,1,-0.05561868500248959,nan,2.3727048354401328,0.12056008285533548,1.9336548429157698,-0.43904999252436294
True,117,canonical,4,2,1,0.0621281701967811,nan,1.9371161711904046,0.18072459937855856,1.3859309023784476,-0.5511852688119568
True,118,canonical,4,2,1,0.04302962762061199,nan,1.999550173990935,0.1646645476123696,1.5006322624063184,-0.4989179115846165
True,119,canonical,4,2,1,0.09103116784897647,nan,1.818460671171277,0.1914806681046185,1.294344913974556,-0.524115757196721
False,42,canonical,8,2,1,0.23405450960879387,nan,1.574506035515117,0.2391059758040459,1.021699091590521,-0.5528069439245958
True,100,canonical,8,2,1,0.011951966850834474,nan,3.2633485260153563,0.05365350199462432,2.559201651922822,-0.7041468740925344
True,101,canonical,8,2,1,-0.025860576330391502,nan,3.569244378740753,0.029883277284707743,2.8695061367262302,-0.6997382420145226
True,102,canonical,8,2,1,0.018048789932745106,nan,2.964881469466656,0.05531701247388232,2.516724235271624,-0.4481572341950318
True,103,canonical,8,2,1,0.019291467217901148,nan,3.23149414494121,0.05600129684940475,2.5283158156977605,-0.7031783292434493
True,104,canonical,8,2,1,-0.019243355314760784,nan,3.5414458034567993,0.03254134558523408,2.826620489093224,-0.7148253143635755
True,105,canonical,8,2,1,0.009643674295634792,nan,3.314287061003143,0.04842184229807073,2.5968223384774736,-0.7174647225256695
True,106,canonical,8,2,1,0.01807595209071121,nan,2.9070337041742285,0.05505565638179255,2.5362036745545002,-0.3708300296197281
True,107,canonical,8,2,1,0.07078899222513445,nan,2.8702002656747085,0.0858192135959907,2.1604507061337266,-0.7097495595409817
True,108,canonical,8,2,1,-0.0018946101470129276,nan,3.3881609220753277,0.04103776329148218,2.690652127404947,-0.6975087946703806
True,109,canonical,8,2,1,-0.0035912382154284425,nan,3.403592411971311,0.04080575647858847,2.701841758901211,-0.7017506530701001
True,110,canonical,8,2,1,0.03203404074861934,nan,2.8425079431938998,0.05942208122070197,2.4455969020297914,-0.3969110411641084
True,111,canonical,8,2,1,0.040271495474069226,nan,2.7519807708005057,0.06946655652633232,2.359660208261071,-0.39232056253943476
True,112,canonical,8,2,1,-0.014900954482175509,nan,3.4689619704559918,0.037104900754663495,2.7855565588408067,-0.6834054116151852
True,113,canonical,8,2,1,-0.043978285425342975,nan,3.748113131053985,0.017146192056666787,3.0363653090001095,-0.7117478220538757
True,114,canonical,8,2,1,0.014076605921753561,nan,3.236015007211642,0.055078303880620516,2.53388767595978,-0.7021273312518617
True,115,canonical,8,2,1,0.07016667199740978,nan,2.880174171622479,0.08456359874068042,2.1729401689279717,-0.7072340026945076
True,116,canonical,8,2,1,0.0261960264800254,nan,2.851987142256764,0.061008271030603356,2.473506771563308,-0.378480370693456
True,117,canonical,8,2,1,-0.006128208214636159,nan,3.0782274385006665,0.04198225206606304,2.7130538599658243,-0.3651735785348421
True,118,canonical,8,2,1,-0.037656962207380164,nan,3.324167350239134,0.019997055248515583,3.0110123901468633,-0.3131549600922704
True,119,canonical,8,2,1,0.023021560701527242,nan,2.919071642415644,0.05927467347086196,2.465786185906398,-0.4532854565092461
False,42,canonical,16,2,1,0.27608265637833385,nan,1.5746365281179857,0.23882097491553855,1.0210387468004207,-0.5535977813175649
True,100,canonical,16,2,1,-0.00696945940233417,nan,3.965836234105647,-0.003129087514810114,3.275408169474076,-0.6904280646315707
True,101,canonical,16,2,1,-0.008920628107505088,nan,3.9887287022617155,-0.0032725559288109274,3.2801191029362946,-0.7086095993254207
True,102,canonical,16,2,1,-0.01761895376554995,nan,4.088338871164531,-0.009429327571609525,3.3810480399797673,-0.7072908311847634
True,103,canonical,16,2,1,-0.004047364566867809,nan,3.9465240955701155,-0.0012189096366043706,3.2374679079968196,-0.7090561875732959
True,104,canonical,16,2,1,-0.014187090859713621,nan,4.062874699921252,-0.007791996600918616,3.355174496727658,-0.7077002031935941
True,105,canonical,16,2,1,0.004945673935061979,nan,3.5294852424852503,0.004933391980852242,3.1423354189008164,-0.3871498235844339
True,106,canonical,16,2,1,0.0012893029179231186,nan,3.876909571991503,0.0035589016314857003,3.1883892649567263,-0.6885203070347768
True,107,canonical,16,2,1,-0.007598619595171385,nan,3.9716664892673377,-0.002407957585656595,3.2835495845093323,-0.6881169047580054
True,108,canonical,16,2,1,-0.0008763641672116297,nan,3.8952561238383456,0.0014104589773827336,3.207835789036034,-0.6874203348023116
True,109,canonical,16,2,1,-0.0043761200129577,nan,3.9372048135862094,-0.0009283607832555885,3.246083707712666,-0.6911211058735436
True,110,canonical,16,2,1,0.00865466857241887,nan,3.486428063822434,0.008293099311285801,3.09456605639007,-0.39186200743236405
True,111,canonical,16,2,1,0.0310347790678829,nan,3.22538753644365,0.022761789260508813,2.878596735548733,-0.34679080089491693
True,112,canonical,16,2,1,-0.002773521037804705,nan,3.9161695124284703,0.0016238788290052208,3.2273863212403295,-0.6887831911881408
True,113,canonical,16,2,1,-0.015516242216749236,nan,4.072650095420997,-0.008257326368380724,3.3650427185261518,-0.7076073768948447
True,114,canonical,16,2,1,0.0071868716143994186,nan,3.825345508476118,0.00660552577416218,3.114682744511263,-0.7106627639648551
True,115,canonical,16,2,1,-0.0063920541882443935,nan,3.9565155416868656,-0.002308394901039179,3.269807661397008,-0.6867078802898574
True,116,canonical,16,2,1,-0.0008597608678630022,nan,3.8934054792911703,0.002716536711816764,3.2044251109527706,-0.6889803683383997
True,117,canonical,16,2,1,0.017090614472852473,nan,3.3521951859407513,0.012944404435981771,3.022376970260947,-0.32981821567980435
True,118,canonical,16,2,1,0.028749684700152735,nan,3.316116728294761,0.021239079893977664,2.9054842244483368,-0.4106325038464244
True,119,canonical,16,2,1,-0.002704106794000716,nan,3.9193421731763873,0.0013174618598719157,3.2310611136077294,-0.688281059568658
False,42,canonical,32,2,1,0.2950631097581261,nan,1.5748951657341048,0.23825097313852378,1.0197299369631272,-0.5551652287709775
True,100,canonical,32,2,1,-0.0002845645371789985,nan,4.070398074338661,-0.01220224734822195,3.3619195844917136,-0.7084784898469478
True,101,canonical,32,2,1,0.008800480551233579,nan,3.96755571658412,-0.005880370336109386,3.257738983361795,-0.7098167332223252
True,102,canonical,32,2,1,0.005528054106229412,nan,4.002979110234119,-0.00815460509324445,3.2936825483509278,-0.7092965618831903
True,103,canonical,32,2,1,0.006510734769565438,nan,3.6432176143143624,-0.007259602863137371,3.290462221417235,-0.35275539289712726
True,104,canonical,32,2,1,-0.004757941628529829,nan,4.118056565362963,-0.015314567473510676,3.41027875542992,-0.7077778099330433
True,105,canonical,32,2,1,-0.004135998727287487,nan,4.109902440919932,-0.01455786386655239,3.401949543669003,-0.7079528972509289
True,106,canonical,32,2,1,-0.0046088716022232926,nan,4.11489228056589,-0.014930010880622513,3.4070045714653343,-0.7078877091005557
True,107,canonical,32,2,1,0.0027508779596276487,nan,4.033121247618912,-0.010158268383949842,3.324217456312473,-0.7089037913064392
True,108,canonical,32,2,1,-0.0029626292883446065,nan,4.0995087167720445,-0.014161010907579596,3.3914500496584887,-0.7080586671135558
True,109,canonical,32,2,1,-0.006060292965908692,nan,4.134266433334721,-0.016033772431327253,3.4266183243039805,-0.7076481090307407
True,110,canonical,32,2,1,-0.002860925331878778,nan,4.099054339322098,-0.014047532172985655,3.3909362361652486,-0.7081181031568492
True,111,canonical,32,2,1,-0.004443457756233936,nan,4.117483113469707,-0.015216615452384008,3.4096362980212125,-0.7078468154484946
True,112,canonical,32,2,1,-0.0031596558770646092,nan,4.100460507805671,-0.014064338043841551,3.3923343896474814,-0.7081261181581899
True,113,canonical,32,2,1,-0.002525185458045788,nan,4.095361367633018,-0.014027882777625789,3.3873052952841074,-0.7080560723489107
True,114,canonical,32,2,1,0.00462691478909116,nan,4.010858882824509,-0.008305270658975072,3.3015172594937052,-0.709341623330804
True,115,canonical,32,2,1,0.0061658728976504915,nan,3.994520119538418,-0.007915448313931595,3.285141410161056,-0.7093787093773619
True,116,canonical,32,2,1,0.007486426765234554,nan,3.9795027229573545,-0.0066909841895192446,3.269890295655041,-0.7096124273023134
True,117,canonical,32,2,1,-0.0017967611186725189,nan,4.084455494752454,-0.013121523248091571,3.3762135963593973,-0.7082418983930571
