trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,1,0.0,left,159,294,10.2529,18.9582,8.7053,1,1,
1,1,0.0,left,348,453,22.4403,29.2111,6.7708,1,1,
2,1,0.0,left,523,627,33.7249,40.4312,6.7063,0,1,
3,1,0.0,left,642,741,41.3985,47.7824,6.3839,1,1,
4,1,0.0,left,748,852,48.2338,54.9401,6.7063,1,1,
5,1,0.0,left,865,965,55.7783,62.2267,6.4484,1,1,
6,1,0.0,left,1046,1154,67.4499,74.4141,6.9642,1,1,
7,1,0.0,left,1162,1271,74.9300,81.9587,7.0287,0,1,
8,1,0.0,left,1339,1442,86.3436,92.9854,6.6418,1,1,
9,1,0.0,left,1505,1625,97.0479,104.7859,7.7380,1,1,
10,1,0.0,left,1661,1751,107.1073,112.9108,5.8035,1,1,
11,1,0.0,left,1820,1924,117.3602,124.0665,6.7063,1,1,
12,1,0.0,left,1985,2114,128.0000,136.3184,8.3184,1,1,
13,1,0.0,left,2169,2315,139.8650,149.2796,9.4146,1,1,
14,1,0.0,left,2360,2474,152.1814,159.5325,7.3511,1,1,
15,1,0.0,left,2517,2641,162.3053,170.3013,7.9960,0,1,
16,1,0.0,left,2696,2789,173.8479,179.8448,5.9970,1,1,
17,1,0.0,left,2809,2901,181.1345,187.0670,5.9325,1,1,
18,1,0.0,left,2955,3065,190.5491,197.6423,7.0932,0,1,
19,1,0.0,left,3103,3196,200.0927,206.0897,5.9970,1,1,
20,1,1.0,left,4133,4280,266.5108,275.9899,9.4791,1,1,
21,1,1.0,left,4354,4485,280.7617,289.2091,8.4474,0,1,
22,1,1.0,left,4494,4588,289.7894,295.8509,6.0615,1,1,
23,1,1.0,left,4665,4785,300.8161,308.5542,7.7380,1,1,
24,1,1.0,left,4807,4912,309.9728,316.7436,6.7708,1,1,
25,1,1.0,left,4967,5050,320.2902,325.6423,5.3521,1,1,
26,1,1.0,left,5102,5213,328.9955,336.1531,7.1577,1,1,
27,1,1.0,left,5223,5310,336.7980,342.4081,5.6101,1,1,
28,1,1.0,left,5348,5490,344.8584,354.0151,9.1567,0,1,
29,1,1.0,left,5548,5651,357.7552,364.3970,6.6418,1,1,
30,1,1.0,left,5663,5755,365.1708,371.1033,5.9325,1,1,
31,1,1.0,left,5811,5904,374.7144,380.7113,5.9970,1,1,
32,1,1.0,left,5948,6082,383.5486,392.1894,8.6408,1,1,
33,1,1.0,left,6126,6231,395.0267,401.7975,6.7708,1,1,
34,1,1.0,left,6278,6384,404.8282,411.6635,6.8353,1,1,
35,1,1.0,left,6452,6574,416.0484,423.9154,7.8670,0,1,
36,1,1.0,left,6624,6719,427.1395,433.2655,6.1259,1,1,
37,1,1.0,left,6730,6832,433.9748,440.5521,6.5773,1,1,
