roi_id,bin_0,bin_1,bin_2,bin_3,bin_4,bin_5,bin_6,bin_7,bin_8,bin_9,bin_10,bin_11,bin_12,bin_13,bin_14,bin_15,bin_16,bin_17,bin_18,bin_19,bin_20,bin_21,bin_22,bin_23,bin_24,bin_25,bin_26,bin_27,bin_28,bin_29,bin_30,bin_31,bin_32,bin_33,bin_34,bin_35,bin_36,bin_37,bin_38,bin_39,bin_40,bin_41,bin_42,bin_43,bin_44,bin_45,bin_46,bin_47,bin_48,bin_49
0,,,,,,,,,,,,,,0.000018,0.000386,0.000308,0.000519,0.000831,0.000838,0.001275,0.001336,0.001549,0.001488,0.001030,0.000940,0.000741,0.000448,0.000400,0.000309,0.000253,0.000149,0.000094,0.000088,0.000048,0.000042,0.000029,0.000041,0.000038,0.000016,0.000215,0.000346,0.000219,0.000302,0.000125,0.000193,0.000157,0.000098,0.000067,0.000087,0.000072
1,,,,,,,,,,,,,,0.000019,0.000339,0.000311,0.000362,0.000273,0.000170,0.000133,0.000097,0.000090,0.000081,0.000077,0.000074,0.000078,0.000067,0.000060,0.000046,0.000042,0.000035,0.000032,0.000029,0.000015,0.000019,0.000014,0.000018,0.000021,0.000010,0.000046,0.000070,0.000064,0.000112,0.000051,0.000139,0.000170,0.000140,0.000074,0.000071,0.000058
2,,,,,,,,,,,,,,0.000003,0.000057,0.000058,0.000090,0.000180,0.000485,0.000843,0.001592,0.002325,0.002669,0.002709,0.003369,0.003009,0.002662,0.002241,0.001271,0.000913,0.000361,0.000176,0.000141,0.000093,0.000079,0.000067,0.000058,0.000023,0.000006,0.000032,0.000042,0.000031,0.000052,0.000034,0.000053,0.000046,0.000039,0.000034,0.000051,0.000049
3,,,,,,,,,,,,,,0.000010,0.000178,0.000240,0.000151,0.000137,0.000522,0.000193,0.000090,0.000065,0.000045,0.000048,0.000043,0.000040,0.000023,0.000013,0.000018,0.000026,0.000036,0.000038,0.000107,0.000086,0.000134,0.000228,0.000419,0.000513,0.000151,0.000950,0.001259,0.000712,0.001063,0.000454,0.000624,0.000512,0.000305,0.000172,0.000669,0.000218
4,,,,,,,,,,,,,,0.000005,0.000056,0.000040,0.000048,0.000043,0.000035,0.000035,0.000048,0.000046,0.000053,0.000053,0.000051,0.000046,0.000040,0.000036,0.000030,0.000037,0.000040,0.000056,0.000164,0.000366,0.001108,0.001103,0.001262,0.000596,0.000097,0.000533,0.000676,0.000427,0.000288,0.000084,0.000187,0.000140,0.000098,0.000055,0.000118,0.000137
5,,,,,,,,,,,,,,0.000005,0.000083,0.000058,0.000074,0.000104,0.000142,0.000273,0.000396,0.000718,0.000726,0.000680,0.001129,0.001246,0.001061,0.000944,0.000898,0.000734,0.000418,0.000288,0.000281,0.000166,0.000131,0.000102,0.000083,0.000030,0.000008,0.000044,0.000067,0.000046,0.000083,0.000042,0.000093,0.000078,0.000058,0.000034,0.000044,0.000044
6,,,,,,,,,,,,,,0.000009,0.000132,0.000139,0.000166,0.000164,0.000137,0.000116,0.000096,0.000103,0.000107,0.000098,0.000095,0.000083,0.000082,0.000078,0.000070,0.000072,0.000068,0.000049,0.000047,0.000045,0.000041,0.000039,0.000038,0.000101,0.000045,0.000110,0.000122,0.000094,0.000148,0.000148,0.000152,0.000143,0.000167,0.000132,0.000216,0.000304
7,,,,,,,,,,,,,,0.000019,0.000308,0.000290,0.000347,0.000400,0.000396,0.000488,0.000547,0.000662,0.000698,0.000546,0.000728,0.000740,0.000636,0.000706,0.000671,0.000662,0.000533,0.000443,0.000490,0.000459,0.000444,0.000388,0.000300,0.000070,0.000014,0.000069,0.000106,0.000062,0.000108,0.000051,0.000115,0.000109,0.000099,0.000067,0.000095,0.000133
8,,,,,,,,,,,,,,0.000004,0.000074,0.000056,0.000057,0.000053,0.000055,0.000050,0.000047,0.000057,0.000058,0.000056,0.000060,0.000054,0.000045,0.000045,0.000040,0.000048,0.000034,0.000036,0.000044,0.000059,0.000130,0.000315,0.000635,0.000354,0.000044,0.000119,0.000092,0.000045,0.000075,0.000031,0.000057,0.000049,0.000035,0.000022,0.000031,0.000036
9,,,,,,,,,,,,,,0.000004,0.000061,0.000046,0.000057,0.000055,0.000043,0.000038,0.000043,0.000037,0.000042,0.000043,0.000054,0.000052,0.000044,0.000039,0.000031,0.000038,0.000042,0.000044,0.000044,0.000034,0.000033,0.000036,0.000034,0.000051,0.000044,0.000264,0.000411,0.000305,0.000499,0.000166,0.000325,0.000211,0.000144,0.000064,0.000053,0.000067
