,day0,day1,day2,day3,day4,day5
day0,1.000000,0.447282,0.457342,0.445524,0.458954,0.432011
day1,0.447282,1.000000,0.450611,0.460212,0.458629,0.527418
day2,0.457342,0.450611,1.000000,0.441178,0.424685,0.471847
day3,0.445524,0.460212,0.441178,1.000000,0.450684,0.452270
day4,0.458954,0.458629,0.424685,0.450684,1.000000,0.442680
day5,0.432011,0.527418,0.471847,0.452270,0.442680,1.000000
