trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,1,0.0,left,191,481,12.3537,31.1107,18.7569,1,1,
1,1,0.0,left,523,728,33.8272,47.0864,13.2592,1,1,
2,1,0.0,left,765,973,49.4795,62.9328,13.4533,1,1,
3,1,0.0,left,1021,1274,66.0374,82.4012,16.3638,0,1,
4,1,0.0,left,1303,1538,84.2769,99.4765,15.1996,1,1,
5,1,0.0,left,1571,1789,101.6109,115.7110,14.1001,1,1,
6,1,0.0,left,1879,2041,121.5321,132.0101,10.4780,1,1,
7,1,0.0,left,2093,2304,135.3734,149.0207,13.6473,1,1,
8,1,0.0,left,2321,2527,150.1203,163.4442,13.3239,1,1,
9,1,0.0,left,2611,2831,168.8772,183.1066,14.2294,1,1,
10,1,0.0,left,2902,3169,187.6988,204.9682,17.2693,1,1,
11,1,0.0,left,3187,3409,206.1324,220.4912,14.3588,1,1,
12,1,0.0,left,3481,3692,225.1481,238.7954,13.6473,1,1,
13,1,0.0,left,3773,4301,244.0344,278.1849,34.1506,1,1,
14,1,0.0,left,4406,4632,284.9763,299.5937,14.6175,1,1,
15,1,0.0,left,4671,4890,302.1162,316.2809,14.1647,1,1,
16,1,1.0,left,5833,6038,377.2734,390.5326,13.2592,1,1,
17,1,1.0,left,6087,6319,393.7019,408.7074,15.0056,1,1,
18,1,1.0,left,6377,6581,412.4588,425.6534,13.1945,1,1,
19,1,1.0,left,6621,6843,428.2405,442.5993,14.3588,1,1,
20,1,1.0,left,6935,7212,448.5498,466.4659,17.9161,1,1,
21,1,1.0,left,7287,7474,471.3168,483.4118,12.0950,1,1,
22,1,1.0,left,7559,7745,488.9096,500.9399,12.0303,1,1,
23,1,1.0,left,7778,8065,503.0743,521.6372,18.5629,1,1,
24,1,1.0,left,8087,8403,523.0601,543.4987,20.4386,1,1,
25,1,1.0,left,8497,8727,549.5786,564.4548,14.8762,1,1,
26,1,1.0,left,8767,9034,567.0419,584.3113,17.2693,1,1,
27,1,1.0,left,9137,9344,590.9732,604.3618,13.3886,1,1,
28,1,1.0,left,9400,9746,607.9838,630.3628,22.3790,1,1,
29,1,1.0,left,9774,10053,632.1738,650.2193,18.0455,1,1,
30,1,1.0,left,10088,10387,652.4831,671.8221,19.3391,1,1,
31,1,1.0,left,10478,10688,677.7079,691.2906,13.5826,1,1,
32,1,2.0,left,11634,11833,752.4770,765.3482,12.8711,1,1,
33,1,2.0,left,11906,12172,770.0697,787.2744,17.2046,1,1,
34,1,2.0,left,12262,12514,793.0955,809.3946,16.2991,1,1,
35,1,2.0,left,12601,12821,815.0217,829.2511,14.2294,1,1,
36,1,2.0,left,12891,13113,833.7787,848.1374,14.3588,1,1,
37,1,2.0,left,13127,13432,849.0430,868.7701,19.7271,1,1,
38,1,2.0,left,13514,13814,874.0738,893.4775,19.4037,1,1,
39,1,2.0,left,13823,14016,894.0596,906.5427,12.4831,1,1,
40,1,2.0,left,14062,14384,909.5179,930.3446,20.8267,1,1,
41,1,2.0,left,14416,15355,932.4144,993.1481,60.7337,1,1,
42,1,2.0,left,15390,15648,995.4118,1012.0990,16.6872,1,1,
43,1,2.0,left,15743,15943,1018.2436,1031.1794,12.9358,1,1,
44,1,2.0,left,15978,16154,1033.4432,1044.8267,11.3835,1,1,
45,1,2.0,left,16174,16356,1046.1203,1057.8919,11.7716,1,1,
46,1,3.0,left,17293,17510,1118.4962,1132.5316,14.0354,1,1,
47,1,3.0,left,17517,17749,1132.9843,1147.9899,15.0056,1,1,
48,1,3.0,left,17765,17971,1149.0248,1162.3487,13.3239,1,1,
49,1,3.0,left,18018,18216,1165.3886,1178.1950,12.8065,1,1,
