trial_id,day,block_id,arm_label,start_frame,end_frame,start_time,end_time,duration_sec,reward_count,valid,notes
0,1,0.0,right,190,465,12.2890,30.0758,17.7868,1,1,
1,1,0.0,right,530,1303,34.2799,84.2769,49.9970,1,1,
2,1,0.0,right,1329,1627,85.9586,105.2329,19.2744,1,1,
3,1,0.0,right,1696,2010,109.6958,130.0051,20.3092,1,1,
4,1,0.0,right,2044,2394,132.2041,154.8418,22.6377,1,1,
5,1,0.0,right,2421,2736,156.5882,176.9621,20.3739,1,1,
6,1,0.0,right,2813,3262,181.9424,210.9833,29.0409,1,1,
7,1,0.0,right,3329,3639,215.3168,235.3674,20.0505,1,1,
8,1,0.0,right,3699,4011,239.2481,259.4280,20.1799,1,1,
9,1,0.0,right,4083,4495,264.0849,290.7327,26.6478,1,1,
10,1,0.0,right,4581,5189,296.2951,335.6200,39.3249,1,1,
11,1,1.0,right,6134,6335,396.7418,409.7423,13.0005,0,1,
12,1,1.0,right,6496,7189,420.1556,464.9783,44.8226,1,1,
13,1,1.0,right,7275,7726,470.5407,499.7110,29.1703,1,1,
14,1,1.0,right,7749,8273,501.1986,535.0904,33.8919,1,1,
15,1,1.0,right,8328,8845,538.6478,572.0869,33.4391,1,1,
16,1,1.0,right,8880,9334,574.3507,603.7150,29.3643,1,1,
17,1,1.0,right,9390,9940,607.3370,642.9106,35.5735,1,1,
18,1,1.0,right,9991,10533,646.2092,681.2653,35.0561,1,1,
19,1,1.0,right,10603,11045,685.7928,714.3810,28.5882,1,1,
20,1,2.0,right,11987,12264,775.3087,793.2249,17.9161,1,1,
21,1,2.0,right,12310,12692,796.2001,820.9075,24.7074,1,1,
22,1,2.0,right,12786,13486,826.9874,872.2628,45.2754,1,1,
23,1,2.0,right,13552,14221,876.5316,919.8019,43.2703,1,1,
24,1,2.0,right,14284,14898,923.8767,963.5897,39.7130,1,1,
25,1,2.0,right,14930,15625,965.6594,1010.6114,44.9520,1,1,
26,1,2.0,right,15657,16219,1012.6812,1049.0308,36.3497,1,1,
27,1,2.0,right,16314,17492,1055.1753,1131.3674,76.1920,1,1,
28,1,3.0,right,18791,19287,1215.3855,1247.4664,32.0808,0,1,
29,1,3.0,right,19377,19775,1253.2875,1279.0298,25.7423,1,1,
30,1,3.0,right,19834,20345,1282.8459,1315.8969,33.0510,1,1,
31,1,3.0,right,20402,20891,1319.5836,1351.2117,31.6281,1,1,
32,1,3.0,right,20979,21328,1356.9035,1379.4765,22.5730,0,1,
33,1,3.0,right,21404,21867,1384.3921,1414.3386,29.9464,1,1,
34,1,3.0,right,21941,22364,1419.1248,1446.4841,27.3593,1,1,
35,1,3.0,right,22417,23106,1449.9121,1494.4760,44.5639,1,1,
36,1,4.0,right,24074,24699,1557.0854,1597.5099,40.4245,1,1,
37,1,4.0,right,24762,25242,1601.5846,1632.6306,31.0460,1,1,
38,1,4.0,right,25310,25737,1637.0288,1664.6468,27.6180,1,1,
39,1,4.0,right,25783,26328,1667.6220,1702.8722,35.2501,1,1,
40,1,4.0,right,26388,26843,1706.7529,1736.1819,29.4290,1,1,
41,1,4.0,right,26910,27441,1740.5154,1774.8600,34.3446,1,1,
42,1,4.0,right,27523,27883,1780.1637,1803.4482,23.2845,0,1,
43,1,4.0,right,28018,28627,1812.1799,1851.5695,39.3896,1,1,
44,1,4.0,right,28716,29418,1857.3259,1902.7307,45.4047,1,1,
45,1,5.0,right,30524,31140,1974.2658,2014.1081,39.8423,1,1,
46,1,5.0,right,31187,31625,2017.1481,2045.4775,28.3295,0,1,
47,1,5.0,right,31706,32227,2050.7165,2084.4144,33.6978,1,1,
48,1,5.0,right,32267,32677,2087.0015,2113.5200,26.5184,1,1,
49,1,5.0,left,32709,33114,2115.5897,2141.7847,26.1950,1,1,
50,1,5.0,right,33185,33644,2146.3770,2176.0647,29.6877,1,1,
51,1,5.0,left,33732,34096,2181.7564,2205.2996,23.5432,1,1,
52,1,5.0,right,34155,34577,2209.1157,2236.4103,27.2946,1,1,
53,1,5.0,right,34639,35073,2240.4204,2268.4912,28.0707,1,1,
54,1,5.0,left,35148,35532,2273.3421,2298.1789,24.8368,1,1,
55,1,5.0,right,35569,36007,2300.5720,2328.9015,28.3295,1,1,
56,1,5.0,right,36080,36536,2333.6230,2363.1167,29.4937,1,1,
57,1,5.0,left,36573,36935,2365.5099,2388.9237,23.4138,1,1,
58,1,5.0,left,36987,37292,2392.2870,2412.0141,19.7271,1,1,
59,1,5.0,right,37376,37800,2417.4472,2444.8711,27.4240,1,1,
60,1,5.0,right,37854,38301,2448.3638,2477.2754,28.9116,1,1,
61,1,5.0,left,38326,38751,2478.8924,2506.3810,27.4886,1,1,
62,1,5.0,right,38793,39220,2509.0975,2536.7155,27.6180,1,1,
63,1,5.0,right,39253,39639,2538.8499,2563.8161,24.9661,1,1,
